 ,Area,Mean,Min,Max
1,3.019,255,255,255
2,1.006,255,255,255
3,1.510,255,255,255
4,3.774,255,255,255
5,1.006,255,255,255
6,3.271,255,255,255
7,1.006,255,255,255
8,1.510,255,255,255
9,1.258,255,255,255
10,1.006,255,255,255
11,7.296,255,255,255
12,1.006,255,255,255
13,1.510,255,255,255
14,1.258,255,255,255
15,1.006,255,255,255
16,1.258,255,255,255
17,1.258,255,255,255
18,4.277,255,255,255
19,3.019,255,255,255
20,1.006,255,255,255
21,2.264,255,255,255
22,1.258,255,255,255
23,1.006,255,255,255
24,1.006,255,255,255
25,1.258,255,255,255
26,2.013,255,255,255
27,1.006,255,255,255
28,1.510,255,255,255
29,1.006,255,255,255
30,1.761,255,255,255
31,1.761,255,255,255
32,1.006,255,255,255
33,1.006,255,255,255
34,2.013,255,255,255
35,1.006,255,255,255
36,24.405,255,255,255
37,2.516,255,255,255
38,1.006,255,255,255
39,4.277,255,255,255
40,1.006,255,255,255
41,12.077,255,255,255
42,3.019,255,255,255
43,1.510,255,255,255
44,1.258,255,255,255
45,1.006,255,255,255
46,3.019,255,255,255
47,2.264,255,255,255
48,1.258,255,255,255
49,2.768,255,255,255
50,1.258,255,255,255
51,1.006,255,255,255
52,4.780,255,255,255
53,2.516,255,255,255
54,5.284,255,255,255
55,8.051,255,255,255
56,2.264,255,255,255
57,3.271,255,255,255
58,2.013,255,255,255
59,2.013,255,255,255
60,1.006,255,255,255
61,2.768,255,255,255
62,1.006,255,255,255
63,2.264,255,255,255
64,2.013,255,255,255
65,1.006,255,255,255
66,1.510,255,255,255
67,1.761,255,255,255
68,1.258,255,255,255
69,1.510,255,255,255
70,1.258,255,255,255
71,2.768,255,255,255
72,2.264,255,255,255
73,1.258,255,255,255
74,2.516,255,255,255
75,1.006,255,255,255
76,1.761,255,255,255
77,1.006,255,255,255
78,1.761,255,255,255
79,1.006,255,255,255
80,1.510,255,255,255
81,2.013,255,255,255
82,2.768,255,255,255
83,1.258,255,255,255
84,1.258,255,255,255
85,1.006,255,255,255
86,3.019,255,255,255
87,1.006,255,255,255
88,1.761,255,255,255
89,4.277,255,255,255
90,6.290,255,255,255
91,3.019,255,255,255
92,1.761,255,255,255
93,6.290,255,255,255
94,1.510,255,255,255
95,1.258,255,255,255
96,1.761,255,255,255
97,2.013,255,255,255
98,2.264,255,255,255
99,1.006,255,255,255
100,1.006,255,255,255
101,1.258,255,255,255
102,1.006,255,255,255
103,1.006,255,255,255
104,1.761,255,255,255
105,3.271,255,255,255
106,2.013,255,255,255
107,3.019,255,255,255
108,2.264,255,255,255
109,3.019,255,255,255
110,12.328,255,255,255
111,1.258,255,255,255
112,1.006,255,255,255
113,1.006,255,255,255
114,1.006,255,255,255
115,2.516,255,255,255
116,10.316,255,255,255
117,1.006,255,255,255
118,1.761,255,255,255
119,2.013,255,255,255
120,1.006,255,255,255
121,2.013,255,255,255
122,1.761,255,255,255
123,1.006,255,255,255
124,5.284,255,255,255
125,2.516,255,255,255
126,3.774,255,255,255
127,1.510,255,255,255
128,1.258,255,255,255
129,1.761,255,255,255
130,1.006,255,255,255
131,1.510,255,255,255
132,1.006,255,255,255
133,1.006,255,255,255
134,1.510,255,255,255
135,1.761,255,255,255
136,1.258,255,255,255
137,1.258,255,255,255
138,3.522,255,255,255
139,3.271,255,255,255
140,2.768,255,255,255
141,1.761,255,255,255
142,2.516,255,255,255
143,2.516,255,255,255
144,4.529,255,255,255
145,1.258,255,255,255
146,1.006,255,255,255
147,2.768,255,255,255
148,1.510,255,255,255
149,1.006,255,255,255
150,1.006,255,255,255
151,7.548,255,255,255
152,2.264,255,255,255
153,1.761,255,255,255
154,5.535,255,255,255
155,2.013,255,255,255
156,1.258,255,255,255
157,1.006,255,255,255
158,1.258,255,255,255
159,2.516,255,255,255
160,1.258,255,255,255
161,1.006,255,255,255
162,2.013,255,255,255
163,1.006,255,255,255
164,1.006,255,255,255
165,4.026,255,255,255
166,1.258,255,255,255
167,5.535,255,255,255
168,2.516,255,255,255
169,2.768,255,255,255
170,1.258,255,255,255
171,1.761,255,255,255
172,2.516,255,255,255
173,1.258,255,255,255
174,2.013,255,255,255
175,1.510,255,255,255
176,3.774,255,255,255
177,1.006,255,255,255
178,1.006,255,255,255
179,4.529,255,255,255
