 ,Area,Mean,Min,Max
1,1.006,255,255,255
2,1.258,255,255,255
3,1.006,255,255,255
4,1.006,255,255,255
5,4.277,255,255,255
6,3.019,255,255,255
7,1.258,255,255,255
8,1.258,255,255,255
9,1.006,255,255,255
10,1.761,255,255,255
11,2.013,255,255,255
12,1.258,255,255,255
13,1.510,255,255,255
14,5.284,255,255,255
15,8.303,255,255,255
16,1.006,255,255,255
17,5.787,255,255,255
18,1.006,255,255,255
19,1.006,255,255,255
20,1.258,255,255,255
21,2.013,255,255,255
22,2.768,255,255,255
23,1.006,255,255,255
24,1.510,255,255,255
25,1.006,255,255,255
26,4.529,255,255,255
27,3.774,255,255,255
28,1.761,255,255,255
29,2.264,255,255,255
30,4.529,255,255,255
31,1.761,255,255,255
32,1.258,255,255,255
33,1.510,255,255,255
34,3.522,255,255,255
35,2.013,255,255,255
36,1.006,255,255,255
37,1.510,255,255,255
38,9.058,255,255,255
39,1.006,255,255,255
40,2.013,255,255,255
41,3.271,255,255,255
42,6.542,255,255,255
43,2.264,255,255,255
44,1.006,255,255,255
45,7.800,255,255,255
46,11.322,255,255,255
47,4.529,255,255,255
48,2.516,255,255,255
49,1.761,255,255,255
50,1.006,255,255,255
51,1.258,255,255,255
52,2.516,255,255,255
53,1.006,255,255,255
54,1.510,255,255,255
55,2.516,255,255,255
56,1.761,255,255,255
57,8.051,255,255,255
58,1.006,255,255,255
59,1.258,255,255,255
60,1.006,255,255,255
61,5.787,255,255,255
62,1.006,255,255,255
63,3.774,255,255,255
64,2.013,255,255,255
65,1.510,255,255,255
66,1.258,255,255,255
67,1.006,255,255,255
68,19.122,255,255,255
69,15.599,255,255,255
70,1.510,255,255,255
71,3.271,255,255,255
72,5.535,255,255,255
73,2.013,255,255,255
74,1.510,255,255,255
75,1.510,255,255,255
76,1.258,255,255,255
77,11.070,255,255,255
78,1.258,255,255,255
79,1.510,255,255,255
80,2.768,255,255,255
81,1.258,255,255,255
82,1.006,255,255,255
83,1.258,255,255,255
84,1.258,255,255,255
85,1.510,255,255,255
86,1.761,255,255,255
87,1.006,255,255,255
88,1.006,255,255,255
89,1.006,255,255,255
90,1.258,255,255,255
91,4.277,255,255,255
92,1.006,255,255,255
93,1.006,255,255,255
94,8.303,255,255,255
95,2.264,255,255,255
96,1.006,255,255,255
97,1.006,255,255,255
98,4.529,255,255,255
99,3.774,255,255,255
100,1.006,255,255,255
101,6.038,255,255,255
102,1.006,255,255,255
103,5.535,255,255,255
104,4.529,255,255,255
105,5.032,255,255,255
106,1.510,255,255,255
107,7.548,255,255,255
108,2.013,255,255,255
109,1.006,255,255,255
110,1.510,255,255,255
111,1.006,255,255,255
112,1.761,255,255,255
113,2.768,255,255,255
114,1.006,255,255,255
115,1.006,255,255,255
116,1.510,255,255,255
117,1.006,255,255,255
118,1.258,255,255,255
119,8.051,255,255,255
120,1.761,255,255,255
121,2.264,255,255,255
122,1.006,255,255,255
123,7.548,255,255,255
124,7.045,255,255,255
125,1.006,255,255,255
126,5.535,255,255,255
127,1.006,255,255,255
128,1.006,255,255,255
129,4.780,255,255,255
130,1.006,255,255,255
131,1.006,255,255,255
132,1.006,255,255,255
133,2.013,255,255,255
134,1.006,255,255,255
