Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.011-A02-NEUN_Layer5-6_analysis_30pct.tif_red,11897,131803.330,11.079,3.205,255
H20.33.011-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,3079,22363.326,7.263,0.544,255
H20.33.011-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,54,360.041,6.667,0.009,255
H20.33.026-A02-NEUN_Layer5-6_analysis_30pct.tif_red,305,2064.388,6.768,0.055,255
H20.33.026-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,3598,33719.348,9.372,0.893,255
H20.33.026-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,8114,67297.800,8.294,1.783,255
H20.33.029-A01-NEUN_Layer5-6_analysis_30pct.tif_red,15047,139105.553,9.245,2.967,255
H20.33.029-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,2446,17390.930,7.110,0.371,255
H20.33.029-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,1089,6899.913,6.336,0.147,255
H21.33.002-A1-NEUN_Layer5-6_analysis_30pct.tif_red,18173,193165.101,10.629,2.527,255
H21.33.002-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,6338,53975.262,8.516,0.706,255
H21.33.002-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,2939,20327.872,6.917,0.266,255
H21.33.007-A1-NEUN_Layer5-6_analysis_30pct.tif_red,12959,166319.248,12.834,3.292,255
H21.33.007-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,4035,35153.476,8.712,0.696,255
H21.33.007-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,39,238.266,6.109,0.005,255
H21.33.013-A1-NEUN_Layer5-6_analysis_30pct.tif_red,12937,110853.499,8.569,1.561,255
H21.33.013-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,3456,24366.575,7.051,0.343,255
H21.33.013-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,1962,12770.525,6.509,0.180,255
H21.33.042-A2-NEUN_Layer5-6_analysis_30pct.tif_red,17152,148975.115,8.686,3.156,255
H21.33.042-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,2116,12475.397,5.896,0.264,255
H21.33.042-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,27,170.334,6.309,0.004,255
