 ,Area,Mean,Min,Max
1,3.522,255,255,255
2,13.586,255,255,255
3,11.574,255,255,255
4,3.019,255,255,255
5,6.038,255,255,255
6,6.290,255,255,255
7,10.064,255,255,255
8,21.386,255,255,255
9,10.819,255,255,255
10,20.128,255,255,255
11,6.038,255,255,255
12,4.026,255,255,255
13,5.284,255,255,255
14,3.774,255,255,255
15,4.780,255,255,255
16,23.147,255,255,255
17,19.122,255,255,255
18,24.154,255,255,255
19,13.586,255,255,255
20,6.038,255,255,255
21,4.026,255,255,255
22,3.522,255,255,255
23,5.284,255,255,255
24,7.548,255,255,255
25,4.277,255,255,255
26,27.425,255,255,255
27,11.574,255,255,255
28,14.844,255,255,255
29,14.593,255,255,255
30,4.026,255,255,255
31,6.038,255,255,255
32,12.832,255,255,255
33,6.290,255,255,255
34,6.542,255,255,255
35,27.928,255,255,255
36,17.360,255,255,255
37,32.960,255,255,255
38,32.960,255,255,255
39,34.721,255,255,255
40,8.806,255,255,255
41,26.670,255,255,255
42,3.522,255,255,255
43,30.192,255,255,255
44,6.793,255,255,255
45,7.800,255,255,255
46,7.045,255,255,255
47,4.529,255,255,255
48,13.586,255,255,255
49,15.096,255,255,255
50,20.883,255,255,255
51,29.186,255,255,255
52,5.535,255,255,255
53,5.535,255,255,255
54,14.090,255,255,255
55,7.045,255,255,255
56,11.574,255,255,255
57,9.058,255,255,255
58,4.529,255,255,255
59,10.819,255,255,255
60,17.360,255,255,255
61,3.774,255,255,255
62,12.328,255,255,255
63,4.780,255,255,255
64,26.418,255,255,255
65,4.529,255,255,255
66,4.780,255,255,255
67,5.535,255,255,255
68,4.026,255,255,255
69,18.618,255,255,255
70,25.160,255,255,255
71,14.341,255,255,255
72,17.360,255,255,255
73,48.811,255,255,255
74,19.373,255,255,255
75,21.135,255,255,255
76,5.032,255,255,255
77,7.800,255,255,255
78,9.812,255,255,255
79,22.644,255,255,255
80,8.554,255,255,255
81,10.567,255,255,255
82,24.657,255,255,255
83,15.348,255,255,255
84,18.870,255,255,255
85,5.787,255,255,255
86,22.141,255,255,255
87,27.173,255,255,255
88,3.774,255,255,255
89,5.535,255,255,255
90,20.128,255,255,255
91,5.284,255,255,255
92,23.399,255,255,255
93,11.825,255,255,255
94,10.567,255,255,255
95,17.360,255,255,255
96,3.774,255,255,255
97,10.316,255,255,255
98,6.290,255,255,255
99,15.348,255,255,255
100,16.606,255,255,255
101,3.774,255,255,255
102,6.793,255,255,255
103,6.542,255,255,255
104,9.812,255,255,255
105,9.561,255,255,255
106,14.090,255,255,255
107,7.800,255,255,255
108,10.567,255,255,255
109,11.825,255,255,255
110,4.529,255,255,255
111,5.535,255,255,255
112,5.284,255,255,255
113,13.335,255,255,255
114,3.522,255,255,255
115,23.399,255,255,255
116,4.529,255,255,255
117,11.070,255,255,255
118,5.787,255,255,255
119,44.030,255,255,255
120,6.038,255,255,255
121,37.489,255,255,255
122,8.051,255,255,255
123,5.032,255,255,255
124,4.026,255,255,255
125,17.109,255,255,255
126,4.529,255,255,255
127,5.535,255,255,255
128,7.045,255,255,255
129,9.561,255,255,255
130,17.109,255,255,255
131,6.793,255,255,255
132,5.787,255,255,255
133,13.586,255,255,255
134,11.322,255,255,255
135,8.303,255,255,255
136,3.774,255,255,255
137,4.026,255,255,255
138,7.800,255,255,255
139,5.284,255,255,255
140,10.316,255,255,255
141,8.806,255,255,255
142,19.122,255,255,255
143,25.663,255,255,255
144,6.542,255,255,255
145,11.825,255,255,255
146,47.301,255,255,255
147,10.316,255,255,255
148,33.211,255,255,255
149,19.373,255,255,255
150,10.316,255,255,255
151,6.542,255,255,255
152,3.522,255,255,255
153,24.405,255,255,255
154,4.026,255,255,255
155,20.380,255,255,255
156,9.058,255,255,255
157,9.058,255,255,255
158,6.793,255,255,255
159,4.529,255,255,255
160,52.836,255,255,255
161,7.800,255,255,255
162,3.522,255,255,255
163,6.793,255,255,255
164,5.787,255,255,255
165,6.290,255,255,255
166,11.070,255,255,255
167,15.599,255,255,255
168,6.290,255,255,255
169,4.277,255,255,255
170,24.405,255,255,255
171,6.542,255,255,255
172,11.825,255,255,255
173,16.857,255,255,255
174,27.173,255,255,255
175,15.096,255,255,255
176,7.800,255,255,255
177,7.548,255,255,255
178,13.838,255,255,255
179,13.083,255,255,255
180,13.083,255,255,255
181,8.303,255,255,255
182,5.284,255,255,255
183,12.328,255,255,255
184,4.026,255,255,255
185,9.561,255,255,255
186,2.768,255,255,255
187,4.026,255,255,255
188,3.019,255,255,255
189,6.290,255,255,255
190,7.800,255,255,255
191,14.341,255,255,255
192,33.966,255,255,255
193,8.554,255,255,255
194,3.271,255,255,255
195,7.548,255,255,255
196,10.064,255,255,255
197,8.303,255,255,255
198,6.290,255,255,255
199,5.535,255,255,255
200,13.586,255,255,255
201,5.284,255,255,255
202,4.026,255,255,255
203,28.683,255,255,255
204,5.787,255,255,255
205,11.825,255,255,255
206,6.542,255,255,255
207,53.088,255,255,255
208,12.328,255,255,255
209,12.077,255,255,255
210,10.819,255,255,255
211,4.026,255,255,255
212,3.522,255,255,255
213,16.606,255,255,255
214,7.045,255,255,255
215,3.774,255,255,255
216,17.612,255,255,255
217,13.335,255,255,255
218,5.535,255,255,255
219,4.529,255,255,255
220,3.522,255,255,255
221,10.567,255,255,255
222,7.548,255,255,255
223,16.354,255,255,255
224,16.102,255,255,255
225,9.561,255,255,255
226,13.083,255,255,255
227,12.580,255,255,255
228,6.542,255,255,255
229,4.780,255,255,255
230,5.787,255,255,255
231,32.205,255,255,255
232,12.580,255,255,255
233,3.271,255,255,255
234,9.058,255,255,255
235,7.548,255,255,255
236,8.806,255,255,255
237,3.522,255,255,255
238,6.542,255,255,255
239,6.793,255,255,255
240,8.806,255,255,255
241,18.870,255,255,255
242,15.599,255,255,255
243,18.115,255,255,255
244,34.721,255,255,255
245,15.348,255,255,255
246,11.070,255,255,255
247,22.141,255,255,255
248,6.038,255,255,255
249,15.096,255,255,255
250,3.271,255,255,255
251,9.058,255,255,255
252,10.064,255,255,255
253,13.838,255,255,255
254,4.277,255,255,255
255,4.529,255,255,255
256,6.542,255,255,255
257,6.038,255,255,255
258,24.154,255,255,255
259,3.522,255,255,255
260,8.554,255,255,255
261,10.064,255,255,255
262,11.825,255,255,255
263,9.309,255,255,255
264,4.277,255,255,255
265,11.574,255,255,255
266,4.780,255,255,255
267,23.651,255,255,255
