 ,Area,Mean,Min,Max
1,3.522,255,255,255
2,4.277,255,255,255
3,3.019,255,255,255
4,2.013,255,255,255
5,5.284,255,255,255
6,4.780,255,255,255
7,5.787,255,255,255
8,4.780,255,255,255
9,6.038,255,255,255
10,4.277,255,255,255
11,3.271,255,255,255
12,4.529,255,255,255
13,5.032,255,255,255
14,6.542,255,255,255
15,6.290,255,255,255
16,4.026,255,255,255
17,3.774,255,255,255
18,4.026,255,255,255
19,4.026,255,255,255
20,8.051,255,255,255
21,4.780,255,255,255
22,2.516,255,255,255
23,4.277,255,255,255
24,3.271,255,255,255
25,6.793,255,255,255
26,8.806,255,255,255
27,7.045,255,255,255
28,5.535,255,255,255
29,3.522,255,255,255
30,5.787,255,255,255
31,3.774,255,255,255
32,4.529,255,255,255
33,6.290,255,255,255
34,7.045,255,255,255
35,4.780,255,255,255
36,6.038,255,255,255
37,12.328,255,255,255
38,6.290,255,255,255
39,12.580,255,255,255
40,6.290,255,255,255
41,6.290,255,255,255
42,4.529,255,255,255
43,3.271,255,255,255
44,4.780,255,255,255
45,4.026,255,255,255
46,8.303,255,255,255
47,2.516,255,255,255
48,6.290,255,255,255
49,8.554,255,255,255
50,5.535,255,255,255
51,5.032,255,255,255
52,6.038,255,255,255
53,5.032,255,255,255
54,9.812,255,255,255
55,5.787,255,255,255
56,6.290,255,255,255
57,6.542,255,255,255
58,5.284,255,255,255
59,5.535,255,255,255
60,4.780,255,255,255
61,6.038,255,255,255
62,5.284,255,255,255
63,11.322,255,255,255
64,3.271,255,255,255
65,4.277,255,255,255
66,12.580,255,255,255
67,5.284,255,255,255
68,5.535,255,255,255
69,9.058,255,255,255
70,10.567,255,255,255
71,4.780,255,255,255
72,11.574,255,255,255
73,12.077,255,255,255
74,12.077,255,255,255
75,6.542,255,255,255
76,6.542,255,255,255
77,5.284,255,255,255
78,17.612,255,255,255
79,10.316,255,255,255
80,7.548,255,255,255
81,10.064,255,255,255
82,5.284,255,255,255
83,4.277,255,255,255
84,3.019,255,255,255
85,4.529,255,255,255
86,12.077,255,255,255
87,9.561,255,255,255
88,5.284,255,255,255
89,8.303,255,255,255
