 ,Area,Mean,Min,Max
1,9.309,255,255,255
2,7.800,255,255,255
3,3.774,255,255,255
4,8.303,255,255,255
5,11.322,255,255,255
6,3.522,255,255,255
7,9.812,255,255,255
8,3.522,255,255,255
9,1.761,255,255,255
10,15.599,255,255,255
11,22.896,255,255,255
12,5.787,255,255,255
13,7.045,255,255,255
14,10.819,255,255,255
15,5.787,255,255,255
16,5.787,255,255,255
17,9.812,255,255,255
18,5.535,255,255,255
19,9.561,255,255,255
20,6.038,255,255,255
21,20.883,255,255,255
22,4.026,255,255,255
23,9.561,255,255,255
24,6.038,255,255,255
25,19.625,255,255,255
26,3.774,255,255,255
27,10.316,255,255,255
28,4.277,255,255,255
29,17.864,255,255,255
30,8.303,255,255,255
31,10.064,255,255,255
32,6.290,255,255,255
33,7.045,255,255,255
34,3.522,255,255,255
35,13.838,255,255,255
36,5.787,255,255,255
37,6.542,255,255,255
38,9.561,255,255,255
39,2.516,255,255,255
40,12.832,255,255,255
41,5.284,255,255,255
42,10.316,255,255,255
43,6.038,255,255,255
44,3.271,255,255,255
45,9.309,255,255,255
46,22.141,255,255,255
47,9.058,255,255,255
48,19.373,255,255,255
49,7.296,255,255,255
50,7.800,255,255,255
51,3.522,255,255,255
52,5.787,255,255,255
53,8.303,255,255,255
54,5.032,255,255,255
55,9.309,255,255,255
56,8.554,255,255,255
57,10.567,255,255,255
58,5.787,255,255,255
59,6.542,255,255,255
60,6.290,255,255,255
61,5.787,255,255,255
62,3.774,255,255,255
63,5.787,255,255,255
64,21.386,255,255,255
65,3.774,255,255,255
66,9.812,255,255,255
67,4.277,255,255,255
68,16.606,255,255,255
69,5.032,255,255,255
70,5.787,255,255,255
71,5.535,255,255,255
72,12.832,255,255,255
73,9.561,255,255,255
74,7.548,255,255,255
75,6.038,255,255,255
76,11.574,255,255,255
77,8.303,255,255,255
78,5.787,255,255,255
79,11.322,255,255,255
80,20.631,255,255,255
81,4.277,255,255,255
82,6.542,255,255,255
83,5.535,255,255,255
84,7.045,255,255,255
85,4.277,255,255,255
86,6.038,255,255,255
87,27.425,255,255,255
88,15.348,255,255,255
89,5.284,255,255,255
90,22.141,255,255,255
91,18.367,255,255,255
92,11.070,255,255,255
93,4.780,255,255,255
94,17.360,255,255,255
95,7.296,255,255,255
96,7.296,255,255,255
97,4.529,255,255,255
98,4.277,255,255,255
99,5.032,255,255,255
100,4.780,255,255,255
101,16.606,255,255,255
102,4.780,255,255,255
103,7.800,255,255,255
104,6.290,255,255,255
105,5.535,255,255,255
106,4.529,255,255,255
107,1.761,255,255,255
108,8.806,255,255,255
109,10.567,255,255,255
110,11.322,255,255,255
111,5.284,255,255,255
112,5.535,255,255,255
113,15.599,255,255,255
114,5.284,255,255,255
115,5.284,255,255,255
116,20.631,255,255,255
117,20.380,255,255,255
118,15.599,255,255,255
119,10.819,255,255,255
120,15.096,255,255,255
121,8.051,255,255,255
122,5.284,255,255,255
123,13.083,255,255,255
124,5.284,255,255,255
125,3.522,255,255,255
126,8.806,255,255,255
127,4.026,255,255,255
128,5.284,255,255,255
129,6.290,255,255,255
130,18.367,255,255,255
131,5.535,255,255,255
132,4.780,255,255,255
133,11.070,255,255,255
134,5.535,255,255,255
135,5.787,255,255,255
136,11.322,255,255,255
137,10.064,255,255,255
138,10.567,255,255,255
139,6.038,255,255,255
140,5.535,255,255,255
141,13.083,255,255,255
142,10.819,255,255,255
143,5.787,255,255,255
144,8.554,255,255,255
145,6.793,255,255,255
146,9.309,255,255,255
147,16.354,255,255,255
148,5.032,255,255,255
149,20.128,255,255,255
150,7.800,255,255,255
151,8.051,255,255,255
152,12.832,255,255,255
153,9.058,255,255,255
154,6.290,255,255,255
155,13.335,255,255,255
156,9.561,255,255,255
157,11.070,255,255,255
158,5.284,255,255,255
159,11.825,255,255,255
160,21.889,255,255,255
