 ,Area,Mean,Min,Max
1,22.393,255,255,255
2,4.277,255,255,255
3,3.522,255,255,255
4,4.529,255,255,255
5,4.529,255,255,255
6,8.554,255,255,255
7,5.032,255,255,255
8,7.045,255,255,255
9,3.522,255,255,255
10,10.064,255,255,255
11,4.026,255,255,255
12,5.284,255,255,255
13,3.271,255,255,255
14,10.064,255,255,255
15,8.554,255,255,255
16,6.290,255,255,255
17,3.774,255,255,255
18,7.548,255,255,255
19,5.032,255,255,255
20,18.115,255,255,255
21,5.787,255,255,255
22,7.800,255,255,255
23,5.535,255,255,255
24,4.529,255,255,255
25,4.277,255,255,255
26,3.271,255,255,255
27,9.812,255,255,255
28,4.780,255,255,255
29,3.522,255,255,255
30,5.535,255,255,255
31,3.774,255,255,255
32,4.026,255,255,255
33,1.006,255,255,255
34,3.774,255,255,255
35,3.774,255,255,255
36,4.277,255,255,255
37,5.535,255,255,255
38,6.290,255,255,255
39,5.535,255,255,255
