 ,Area,Mean,Min,Max
1,2.013,255,255,255
2,1.761,255,255,255
3,1.006,255,255,255
4,1.006,255,255,255
5,1.006,255,255,255
6,1.006,255,255,255
7,1.258,255,255,255
8,5.284,255,255,255
9,1.510,255,255,255
10,2.768,255,255,255
11,1.761,255,255,255
12,2.013,255,255,255
13,4.529,255,255,255
14,3.271,255,255,255
15,1.006,255,255,255
16,1.006,255,255,255
17,3.019,255,255,255
18,2.013,255,255,255
19,1.258,255,255,255
20,1.006,255,255,255
21,1.761,255,255,255
22,2.013,255,255,255
23,1.761,255,255,255
24,1.761,255,255,255
25,1.006,255,255,255
26,1.006,255,255,255
27,1.006,255,255,255
28,1.510,255,255,255
29,16.354,255,255,255
30,6.542,255,255,255
31,2.013,255,255,255
32,1.006,255,255,255
33,2.264,255,255,255
34,4.277,255,255,255
35,1.510,255,255,255
36,2.768,255,255,255
37,1.006,255,255,255
38,1.761,255,255,255
39,2.264,255,255,255
40,1.761,255,255,255
41,1.761,255,255,255
42,1.510,255,255,255
43,1.258,255,255,255
44,1.510,255,255,255
45,1.006,255,255,255
46,1.006,255,255,255
47,5.284,255,255,255
48,1.006,255,255,255
49,1.510,255,255,255
50,1.761,255,255,255
51,2.013,255,255,255
52,1.006,255,255,255
53,2.013,255,255,255
54,1.510,255,255,255
55,1.761,255,255,255
56,1.006,255,255,255
57,1.761,255,255,255
58,1.761,255,255,255
59,1.761,255,255,255
60,1.006,255,255,255
61,2.013,255,255,255
62,2.264,255,255,255
63,1.006,255,255,255
64,2.264,255,255,255
65,1.761,255,255,255
66,1.258,255,255,255
67,1.006,255,255,255
68,1.510,255,255,255
69,2.013,255,255,255
70,1.761,255,255,255
71,1.761,255,255,255
72,1.510,255,255,255
73,10.567,255,255,255
74,1.006,255,255,255
75,3.774,255,255,255
76,1.258,255,255,255
77,1.510,255,255,255
78,2.516,255,255,255
79,1.006,255,255,255
80,5.032,255,255,255
81,1.258,255,255,255
82,2.264,255,255,255
83,1.006,255,255,255
84,1.006,255,255,255
85,1.006,255,255,255
86,1.006,255,255,255
87,21.135,255,255,255
88,1.006,255,255,255
89,1.761,255,255,255
90,3.019,255,255,255
91,5.284,255,255,255
92,1.006,255,255,255
93,2.768,255,255,255
94,1.006,255,255,255
95,2.768,255,255,255
96,1.006,255,255,255
97,1.258,255,255,255
98,1.006,255,255,255
99,1.258,255,255,255
100,1.006,255,255,255
101,3.522,255,255,255
102,1.006,255,255,255
103,1.006,255,255,255
104,5.032,255,255,255
105,2.264,255,255,255
106,2.264,255,255,255
107,2.264,255,255,255
108,1.006,255,255,255
109,1.006,255,255,255
110,37.992,255,255,255
111,2.013,255,255,255
112,2.516,255,255,255
113,1.258,255,255,255
114,1.761,255,255,255
115,1.510,255,255,255
116,1.006,255,255,255
117,1.510,255,255,255
118,1.006,255,255,255
119,3.522,255,255,255
120,2.516,255,255,255
121,1.258,255,255,255
122,1.510,255,255,255
123,1.006,255,255,255
124,2.264,255,255,255
125,2.768,255,255,255
126,2.013,255,255,255
127,1.006,255,255,255
128,1.761,255,255,255
129,1.006,255,255,255
130,2.768,255,255,255
131,3.019,255,255,255
132,5.535,255,255,255
133,1.006,255,255,255
134,1.510,255,255,255
135,1.510,255,255,255
136,1.006,255,255,255
137,1.006,255,255,255
138,1.258,255,255,255
139,1.006,255,255,255
140,3.019,255,255,255
141,7.045,255,255,255
142,3.522,255,255,255
143,2.013,255,255,255
144,1.006,255,255,255
145,2.013,255,255,255
146,2.516,255,255,255
147,1.258,255,255,255
148,2.013,255,255,255
149,2.264,255,255,255
150,2.013,255,255,255
151,1.761,255,255,255
152,2.264,255,255,255
153,5.535,255,255,255
154,2.013,255,255,255
155,1.761,255,255,255
156,1.761,255,255,255
157,1.761,255,255,255
158,1.258,255,255,255
159,2.768,255,255,255
160,1.258,255,255,255
161,1.006,255,255,255
162,3.019,255,255,255
163,2.768,255,255,255
164,12.832,255,255,255
165,6.038,255,255,255
166,1.006,255,255,255
167,3.522,255,255,255
168,1.006,255,255,255
169,1.006,255,255,255
170,2.013,255,255,255
171,1.510,255,255,255
172,4.277,255,255,255
173,1.006,255,255,255
174,1.510,255,255,255
175,1.006,255,255,255
176,1.258,255,255,255
177,1.258,255,255,255
178,1.761,255,255,255
179,1.761,255,255,255
180,2.264,255,255,255
181,2.264,255,255,255
182,1.006,255,255,255
183,1.006,255,255,255
184,5.284,255,255,255
185,5.032,255,255,255
186,1.006,255,255,255
187,1.258,255,255,255
188,1.006,255,255,255
189,1.510,255,255,255
190,2.013,255,255,255
191,1.006,255,255,255
192,1.258,255,255,255
193,1.258,255,255,255
194,2.768,255,255,255
195,1.510,255,255,255
196,1.006,255,255,255
197,2.013,255,255,255
198,1.006,255,255,255
199,1.510,255,255,255
200,2.264,255,255,255
201,1.006,255,255,255
202,1.761,255,255,255
203,1.006,255,255,255
204,1.006,255,255,255
205,1.258,255,255,255
206,1.006,255,255,255
207,1.006,255,255,255
208,1.006,255,255,255
209,1.510,255,255,255
210,2.013,255,255,255
211,1.510,255,255,255
212,1.006,255,255,255
213,1.006,255,255,255
214,3.019,255,255,255
215,2.264,255,255,255
216,3.774,255,255,255
217,1.761,255,255,255
218,1.258,255,255,255
219,1.006,255,255,255
220,3.271,255,255,255
221,3.522,255,255,255
222,1.510,255,255,255
223,1.761,255,255,255
224,9.309,255,255,255
225,1.510,255,255,255
226,2.516,255,255,255
227,1.510,255,255,255
228,4.277,255,255,255
229,1.006,255,255,255
230,1.006,255,255,255
231,1.761,255,255,255
232,3.522,255,255,255
233,1.258,255,255,255
234,1.761,255,255,255
235,1.761,255,255,255
236,1.258,255,255,255
237,1.006,255,255,255
238,1.006,255,255,255
239,1.006,255,255,255
240,1.258,255,255,255
241,1.761,255,255,255
242,1.006,255,255,255
243,2.516,255,255,255
244,2.264,255,255,255
245,1.006,255,255,255
246,2.768,255,255,255
247,1.006,255,255,255
248,2.264,255,255,255
249,2.013,255,255,255
250,1.761,255,255,255
251,1.510,255,255,255
252,1.258,255,255,255
253,2.264,255,255,255
254,1.510,255,255,255
255,4.780,255,255,255
256,2.264,255,255,255
257,6.038,255,255,255
258,5.535,255,255,255
259,3.019,255,255,255
260,1.258,255,255,255
261,1.006,255,255,255
262,1.510,255,255,255
263,2.768,255,255,255
264,1.258,255,255,255
265,1.006,255,255,255
266,1.006,255,255,255
267,3.271,255,255,255
268,1.006,255,255,255
269,3.019,255,255,255
270,5.032,255,255,255
271,1.258,255,255,255
272,1.761,255,255,255
273,1.258,255,255,255
274,1.510,255,255,255
275,1.258,255,255,255
276,1.258,255,255,255
277,4.529,255,255,255
278,6.793,255,255,255
279,1.258,255,255,255
280,2.768,255,255,255
281,1.761,255,255,255
282,2.516,255,255,255
283,3.522,255,255,255
284,3.271,255,255,255
285,1.006,255,255,255
286,1.006,255,255,255
287,1.006,255,255,255
