 ,Area,Mean,Min,Max
1,2.264,255,255,255
2,1.258,255,255,255
3,1.006,255,255,255
4,1.510,255,255,255
5,8.051,255,255,255
6,4.780,255,255,255
7,1.761,255,255,255
8,4.780,255,255,255
9,1.006,255,255,255
10,1.006,255,255,255
11,3.774,255,255,255
12,8.303,255,255,255
13,2.516,255,255,255
14,1.006,255,255,255
15,14.341,255,255,255
16,3.774,255,255,255
17,1.510,255,255,255
18,1.258,255,255,255
19,2.013,255,255,255
20,1.258,255,255,255
21,1.258,255,255,255
22,1.006,255,255,255
23,1.761,255,255,255
24,1.761,255,255,255
25,1.006,255,255,255
26,2.264,255,255,255
27,2.264,255,255,255
28,1.258,255,255,255
29,1.006,255,255,255
30,2.013,255,255,255
31,1.258,255,255,255
32,5.787,255,255,255
33,1.006,255,255,255
34,1.510,255,255,255
35,1.006,255,255,255
36,1.006,255,255,255
37,2.516,255,255,255
38,6.038,255,255,255
39,4.026,255,255,255
40,1.510,255,255,255
41,1.258,255,255,255
42,1.258,255,255,255
43,1.006,255,255,255
44,2.013,255,255,255
45,1.510,255,255,255
46,1.510,255,255,255
47,16.606,255,255,255
48,20.631,255,255,255
49,1.006,255,255,255
50,1.258,255,255,255
51,1.258,255,255,255
52,1.510,255,255,255
53,1.258,255,255,255
54,1.761,255,255,255
55,2.516,255,255,255
56,2.768,255,255,255
57,1.006,255,255,255
58,1.258,255,255,255
59,1.006,255,255,255
60,17.360,255,255,255
61,1.510,255,255,255
62,1.258,255,255,255
63,1.006,255,255,255
64,1.258,255,255,255
65,2.516,255,255,255
66,1.006,255,255,255
67,1.006,255,255,255
68,2.768,255,255,255
69,2.264,255,255,255
70,1.006,255,255,255
71,1.510,255,255,255
72,1.510,255,255,255
73,2.516,255,255,255
74,2.516,255,255,255
75,1.006,255,255,255
76,1.006,255,255,255
77,1.761,255,255,255
78,1.258,255,255,255
79,2.264,255,255,255
80,9.812,255,255,255
81,1.258,255,255,255
82,1.006,255,255,255
83,1.258,255,255,255
84,1.761,255,255,255
85,2.013,255,255,255
86,8.051,255,255,255
87,4.780,255,255,255
88,2.264,255,255,255
89,1.006,255,255,255
90,2.768,255,255,255
91,1.006,255,255,255
92,1.258,255,255,255
93,1.006,255,255,255
94,1.510,255,255,255
95,6.038,255,255,255
96,1.006,255,255,255
97,1.258,255,255,255
98,1.258,255,255,255
99,9.058,255,255,255
100,1.258,255,255,255
101,1.258,255,255,255
102,1.258,255,255,255
103,1.006,255,255,255
104,17.612,255,255,255
105,2.013,255,255,255
106,15.851,255,255,255
107,14.844,255,255,255
108,1.258,255,255,255
109,2.264,255,255,255
110,1.258,255,255,255
111,1.006,255,255,255
112,1.006,255,255,255
113,5.535,255,255,255
114,2.516,255,255,255
115,2.264,255,255,255
116,6.542,255,255,255
117,1.510,255,255,255
118,1.006,255,255,255
119,20.128,255,255,255
120,14.844,255,255,255
121,1.510,255,255,255
122,1.006,255,255,255
123,1.510,255,255,255
124,15.096,255,255,255
125,1.006,255,255,255
126,1.761,255,255,255
127,3.019,255,255,255
128,1.258,255,255,255
129,1.006,255,255,255
130,1.258,255,255,255
131,1.258,255,255,255
132,1.510,255,255,255
133,1.761,255,255,255
134,1.510,255,255,255
135,1.258,255,255,255
136,2.013,255,255,255
137,1.006,255,255,255
138,1.006,255,255,255
139,2.013,255,255,255
140,2.768,255,255,255
141,1.510,255,255,255
142,4.780,255,255,255
143,1.258,255,255,255
144,1.006,255,255,255
145,2.013,255,255,255
146,1.258,255,255,255
147,2.013,255,255,255
148,1.510,255,255,255
149,1.258,255,255,255
150,1.761,255,255,255
151,1.258,255,255,255
152,3.019,255,255,255
153,1.258,255,255,255
154,1.006,255,255,255
155,1.258,255,255,255
156,1.258,255,255,255
157,1.510,255,255,255
158,8.303,255,255,255
159,1.006,255,255,255
160,1.006,255,255,255
161,4.026,255,255,255
162,2.264,255,255,255
163,10.567,255,255,255
164,1.510,255,255,255
165,4.529,255,255,255
166,9.309,255,255,255
167,1.258,255,255,255
168,1.761,255,255,255
169,1.510,255,255,255
170,1.006,255,255,255
171,12.580,255,255,255
172,2.013,255,255,255
173,1.258,255,255,255
174,1.258,255,255,255
175,1.258,255,255,255
176,1.006,255,255,255
177,1.006,255,255,255
178,1.761,255,255,255
179,1.006,255,255,255
180,2.516,255,255,255
181,1.258,255,255,255
182,1.258,255,255,255
183,3.019,255,255,255
184,1.006,255,255,255
185,1.006,255,255,255
186,2.013,255,255,255
187,2.013,255,255,255
188,2.013,255,255,255
189,9.561,255,255,255
190,1.006,255,255,255
191,7.548,255,255,255
192,5.032,255,255,255
193,7.548,255,255,255
194,1.006,255,255,255
195,1.761,255,255,255
196,1.510,255,255,255
197,7.296,255,255,255
198,1.258,255,255,255
199,1.006,255,255,255
200,1.006,255,255,255
201,1.510,255,255,255
202,1.006,255,255,255
203,8.806,255,255,255
204,4.529,255,255,255
205,3.019,255,255,255
206,1.510,255,255,255
207,1.258,255,255,255
208,1.258,255,255,255
209,2.768,255,255,255
210,1.006,255,255,255
211,1.258,255,255,255
212,3.774,255,255,255
213,1.006,255,255,255
214,1.006,255,255,255
215,1.258,255,255,255
216,1.006,255,255,255
217,1.006,255,255,255
218,1.006,255,255,255
219,2.768,255,255,255
220,3.271,255,255,255
221,3.019,255,255,255
222,1.258,255,255,255
223,4.277,255,255,255
224,6.793,255,255,255
225,1.006,255,255,255
226,1.006,255,255,255
227,1.761,255,255,255
228,1.510,255,255,255
229,1.510,255,255,255
230,1.006,255,255,255
231,1.258,255,255,255
232,1.510,255,255,255
233,3.271,255,255,255
234,1.258,255,255,255
235,1.006,255,255,255
236,2.013,255,255,255
237,5.032,255,255,255
238,1.006,255,255,255
239,2.264,255,255,255
240,3.522,255,255,255
241,3.774,255,255,255
242,1.006,255,255,255
243,1.258,255,255,255
244,1.006,255,255,255
245,1.510,255,255,255
246,2.013,255,255,255
247,1.006,255,255,255
248,1.006,255,255,255
249,2.013,255,255,255
250,1.510,255,255,255
251,5.032,255,255,255
252,1.006,255,255,255
253,1.006,255,255,255
254,1.006,255,255,255
255,1.258,255,255,255
256,2.516,255,255,255
257,1.258,255,255,255
258,1.258,255,255,255
259,1.006,255,255,255
260,1.006,255,255,255
261,1.258,255,255,255
262,1.006,255,255,255
263,1.761,255,255,255
264,1.006,255,255,255
265,1.006,255,255,255
266,3.019,255,255,255
267,1.258,255,255,255
268,1.006,255,255,255
269,2.516,255,255,255
270,1.006,255,255,255
271,5.535,255,255,255
272,1.006,255,255,255
273,2.768,255,255,255
274,1.510,255,255,255
275,1.258,255,255,255
276,3.522,255,255,255
277,2.264,255,255,255
278,1.761,255,255,255
279,2.264,255,255,255
280,1.006,255,255,255
281,1.006,255,255,255
282,1.258,255,255,255
283,3.774,255,255,255
284,3.271,255,255,255
285,10.819,255,255,255
286,3.271,255,255,255
287,1.006,255,255,255
288,2.264,255,255,255
289,1.006,255,255,255
290,1.761,255,255,255
291,3.019,255,255,255
292,1.006,255,255,255
293,9.309,255,255,255
294,2.516,255,255,255
295,1.006,255,255,255
296,2.264,255,255,255
297,2.264,255,255,255
298,12.077,255,255,255
299,1.006,255,255,255
300,2.264,255,255,255
301,4.277,255,255,255
302,1.258,255,255,255
303,1.006,255,255,255
304,1.510,255,255,255
305,3.774,255,255,255
306,7.296,255,255,255
307,1.258,255,255,255
308,1.258,255,255,255
309,4.277,255,255,255
310,16.857,255,255,255
311,1.006,255,255,255
312,20.883,255,255,255
313,1.006,255,255,255
314,1.006,255,255,255
315,1.006,255,255,255
316,1.258,255,255,255
317,4.529,255,255,255
318,1.006,255,255,255
319,2.768,255,255,255
320,1.006,255,255,255
321,1.006,255,255,255
322,1.258,255,255,255
323,1.258,255,255,255
324,1.006,255,255,255
325,1.006,255,255,255
326,1.258,255,255,255
327,2.768,255,255,255
328,1.510,255,255,255
329,2.264,255,255,255
330,1.006,255,255,255
331,1.761,255,255,255
332,1.006,255,255,255
333,1.006,255,255,255
334,9.309,255,255,255
335,1.510,255,255,255
336,1.258,255,255,255
337,5.284,255,255,255
338,1.510,255,255,255
339,1.510,255,255,255
340,2.264,255,255,255
341,2.516,255,255,255
342,2.264,255,255,255
343,2.013,255,255,255
344,1.006,255,255,255
345,6.793,255,255,255
346,1.510,255,255,255
347,1.510,255,255,255
348,1.006,255,255,255
349,1.510,255,255,255
350,1.510,255,255,255
351,6.542,255,255,255
352,1.006,255,255,255
353,1.258,255,255,255
354,2.264,255,255,255
355,3.019,255,255,255
356,1.258,255,255,255
357,1.006,255,255,255
358,24.909,255,255,255
359,1.258,255,255,255
360,1.761,255,255,255
361,1.258,255,255,255
362,2.264,255,255,255
363,1.761,255,255,255
364,1.510,255,255,255
365,1.006,255,255,255
366,21.889,255,255,255
367,1.006,255,255,255
368,1.258,255,255,255
369,1.258,255,255,255
370,2.516,255,255,255
371,1.006,255,255,255
372,3.774,255,255,255
373,2.516,255,255,255
374,7.548,255,255,255
375,1.006,255,255,255
376,1.006,255,255,255
377,1.258,255,255,255
378,4.529,255,255,255
379,1.006,255,255,255
380,1.006,255,255,255
381,1.258,255,255,255
382,1.258,255,255,255
383,2.013,255,255,255
384,2.013,255,255,255
385,1.006,255,255,255
386,1.258,255,255,255
387,1.258,255,255,255
388,1.258,255,255,255
389,1.258,255,255,255
390,6.038,255,255,255
391,2.013,255,255,255
392,2.768,255,255,255
393,2.013,255,255,255
394,6.038,255,255,255
395,1.761,255,255,255
396,1.761,255,255,255
397,1.006,255,255,255
398,1.510,255,255,255
399,8.051,255,255,255
400,1.258,255,255,255
401,1.006,255,255,255
402,1.258,255,255,255
403,1.006,255,255,255
404,2.768,255,255,255
405,2.516,255,255,255
406,1.761,255,255,255
407,1.761,255,255,255
408,1.006,255,255,255
409,1.006,255,255,255
410,1.761,255,255,255
411,1.006,255,255,255
412,2.013,255,255,255
413,1.006,255,255,255
414,1.761,255,255,255
415,1.006,255,255,255
416,1.258,255,255,255
417,1.258,255,255,255
418,1.006,255,255,255
419,1.761,255,255,255
420,1.006,255,255,255
421,1.006,255,255,255
422,2.516,255,255,255
423,1.510,255,255,255
424,1.006,255,255,255
425,1.258,255,255,255
426,1.006,255,255,255
427,1.761,255,255,255
428,2.516,255,255,255
429,5.284,255,255,255
430,2.516,255,255,255
431,6.793,255,255,255
432,8.554,255,255,255
433,2.013,255,255,255
434,1.006,255,255,255
435,7.800,255,255,255
436,1.761,255,255,255
437,1.006,255,255,255
438,1.761,255,255,255
439,1.258,255,255,255
440,1.258,255,255,255
441,1.761,255,255,255
442,1.510,255,255,255
443,1.006,255,255,255
444,1.006,255,255,255
445,3.019,255,255,255
446,5.535,255,255,255
447,3.019,255,255,255
448,1.761,255,255,255
449,1.258,255,255,255
450,1.006,255,255,255
451,1.258,255,255,255
452,1.258,255,255,255
453,2.013,255,255,255
454,1.258,255,255,255
455,2.264,255,255,255
456,3.019,255,255,255
457,1.258,255,255,255
458,1.761,255,255,255
459,1.006,255,255,255
460,1.006,255,255,255
461,1.510,255,255,255
462,3.522,255,255,255
463,2.013,255,255,255
464,1.258,255,255,255
465,5.032,255,255,255
466,1.510,255,255,255
467,3.271,255,255,255
468,1.006,255,255,255
469,1.006,255,255,255
470,2.516,255,255,255
471,3.522,255,255,255
472,11.574,255,255,255
473,4.277,255,255,255
474,4.026,255,255,255
