Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_red,12005,118589.483,9.878,2.680,255
H20.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,3277,24101.639,7.355,0.545,255
H20.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,38,276.258,7.270,0.006,255
H20.33.017-A01-NEUN_Layer5-6_analysis_30pct.tif_red,26230,287113.513,10.946,3.212,255
H20.33.017-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,4777,32770.308,6.860,0.367,255
H20.33.017-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,83,496.912,5.987,0.006,255
H20.33.020-A02-NEUN_Layer5-6_analysis_30pct.tif_red,22079,234489.601,10.620,2.501,255
H20.33.020-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,4898,41606.041,8.494,0.444,255
H20.33.020-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,2406,17634.732,7.329,0.188,255
H21.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_red,22103,252445.628,11.421,3.013,255
H21.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,6447,55025.194,8.535,0.657,255
H21.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,80,623.468,7.793,0.007,255
H21.33.029-A2-NEUN_Layer5-6_analysis_30pct.tif_red,10864,93339.033,8.592,1.490,255
H21.33.029-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,6821,50413.846,7.391,0.805,255
H21.33.029-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,6926,40346.525,5.825,0.644,255
H21.33.031-A2-NEUN_Layer5-6_analysis_30pct.tif_red,1015,11560.574,11.390,0.356,255
H21.33.031-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,2264,22847.658,10.092,0.704,255
H21.33.031-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,4056,35300.662,8.703,1.088,255
H21.33.046-A2-NEUN_Layer5-6_analysis_30pct.tif_red,13321,159184.339,11.950,2.361,255
H21.33.046-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,5813,52969.360,9.112,0.786,255
H21.33.046-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,2586,17919.544,6.929,0.266,255
