 ,Area,Mean,Min,Max
1,2.768,255,255,255
2,5.284,255,255,255
3,6.038,255,255,255
4,3.522,255,255,255
5,3.774,255,255,255
6,7.296,255,255,255
7,5.032,255,255,255
8,5.535,255,255,255
9,8.554,255,255,255
10,8.051,255,255,255
11,7.045,255,255,255
12,7.045,255,255,255
13,5.787,255,255,255
14,10.064,255,255,255
15,6.290,255,255,255
16,5.284,255,255,255
17,7.296,255,255,255
18,7.800,255,255,255
19,4.780,255,255,255
20,3.774,255,255,255
21,3.774,255,255,255
22,4.529,255,255,255
23,8.806,255,255,255
24,13.335,255,255,255
25,1.006,255,255,255
26,6.290,255,255,255
27,5.284,255,255,255
28,14.090,255,255,255
29,4.277,255,255,255
30,7.045,255,255,255
31,5.032,255,255,255
32,7.800,255,255,255
33,4.780,255,255,255
34,3.271,255,255,255
35,7.548,255,255,255
36,13.838,255,255,255
37,12.832,255,255,255
38,5.787,255,255,255
39,11.574,255,255,255
40,6.542,255,255,255
41,5.032,255,255,255
42,5.535,255,255,255
43,13.335,255,255,255
44,11.574,255,255,255
45,6.542,255,255,255
46,4.026,255,255,255
47,6.793,255,255,255
48,7.800,255,255,255
49,13.838,255,255,255
50,13.838,255,255,255
51,16.102,255,255,255
52,21.638,255,255,255
53,9.309,255,255,255
54,5.284,255,255,255
55,15.348,255,255,255
56,23.651,255,255,255
57,4.026,255,255,255
58,6.793,255,255,255
59,17.360,255,255,255
60,12.580,255,255,255
61,5.032,255,255,255
62,12.328,255,255,255
63,7.548,255,255,255
64,12.580,255,255,255
65,11.825,255,255,255
66,5.032,255,255,255
67,6.542,255,255,255
68,7.800,255,255,255
69,7.296,255,255,255
70,13.838,255,255,255
71,4.780,255,255,255
72,6.038,255,255,255
73,5.032,255,255,255
74,14.341,255,255,255
75,9.309,255,255,255
76,6.038,255,255,255
77,9.309,255,255,255
78,11.825,255,255,255
79,8.554,255,255,255
80,3.271,255,255,255
81,9.309,255,255,255
82,5.032,255,255,255
83,3.019,255,255,255
84,6.038,255,255,255
85,7.296,255,255,255
86,15.096,255,255,255
87,7.548,255,255,255
88,24.657,255,255,255
89,22.393,255,255,255
90,14.593,255,255,255
91,7.296,255,255,255
92,14.090,255,255,255
93,6.038,255,255,255
94,16.102,255,255,255
95,5.284,255,255,255
96,4.780,255,255,255
97,13.335,255,255,255
98,8.303,255,255,255
99,3.774,255,255,255
100,10.064,255,255,255
101,4.026,255,255,255
102,6.793,255,255,255
103,14.341,255,255,255
104,8.303,255,255,255
105,17.360,255,255,255
106,8.303,255,255,255
107,9.309,255,255,255
108,13.083,255,255,255
109,15.851,255,255,255
110,5.284,255,255,255
111,11.322,255,255,255
112,6.290,255,255,255
113,5.787,255,255,255
114,10.819,255,255,255
115,21.135,255,255,255
116,3.522,255,255,255
117,9.561,255,255,255
118,11.825,255,255,255
119,12.832,255,255,255
120,8.806,255,255,255
121,10.819,255,255,255
122,16.606,255,255,255
123,6.793,255,255,255
124,6.290,255,255,255
125,4.277,255,255,255
126,5.032,255,255,255
127,15.851,255,255,255
