 ,Area,Mean,Min,Max
1,8.806,255,255,255
2,4.026,255,255,255
3,5.787,255,255,255
4,13.335,255,255,255
5,11.825,255,255,255
6,18.618,255,255,255
7,23.651,255,255,255
8,9.309,255,255,255
9,8.051,255,255,255
10,13.083,255,255,255
11,14.593,255,255,255
12,15.599,255,255,255
13,18.367,255,255,255
14,15.851,255,255,255
15,14.341,255,255,255
16,7.296,255,255,255
17,12.328,255,255,255
18,11.322,255,255,255
19,14.593,255,255,255
20,12.832,255,255,255
21,20.631,255,255,255
22,15.348,255,255,255
23,5.787,255,255,255
24,8.051,255,255,255
25,5.284,255,255,255
26,19.625,255,255,255
27,7.800,255,255,255
28,13.335,255,255,255
29,21.386,255,255,255
30,4.277,255,255,255
31,18.367,255,255,255
32,10.064,255,255,255
33,26.670,255,255,255
34,11.574,255,255,255
35,14.341,255,255,255
36,10.567,255,255,255
37,8.051,255,255,255
38,18.115,255,255,255
39,12.328,255,255,255
40,11.070,255,255,255
41,12.580,255,255,255
42,26.921,255,255,255
43,15.599,255,255,255
44,8.554,255,255,255
45,9.561,255,255,255
46,16.857,255,255,255
47,20.883,255,255,255
48,5.787,255,255,255
49,11.574,255,255,255
50,12.580,255,255,255
51,15.096,255,255,255
52,7.045,255,255,255
53,26.167,255,255,255
54,32.708,255,255,255
55,6.542,255,255,255
56,30.192,255,255,255
57,11.322,255,255,255
58,9.561,255,255,255
59,19.122,255,255,255
60,23.399,255,255,255
61,10.316,255,255,255
62,13.838,255,255,255
63,8.303,255,255,255
64,21.386,255,255,255
65,4.529,255,255,255
66,12.832,255,255,255
67,6.038,255,255,255
68,9.309,255,255,255
69,6.290,255,255,255
70,7.548,255,255,255
71,9.058,255,255,255
72,12.328,255,255,255
73,33.463,255,255,255
74,14.844,255,255,255
75,7.548,255,255,255
76,10.819,255,255,255
77,14.090,255,255,255
78,21.386,255,255,255
79,16.857,255,255,255
80,16.102,255,255,255
81,41.766,255,255,255
82,9.812,255,255,255
83,10.064,255,255,255
