 ,Area,Mean,Min,Max
1,13.335,255,255,255
2,4.277,255,255,255
3,9.058,255,255,255
4,5.787,255,255,255
5,3.774,255,255,255
6,3.522,255,255,255
7,4.529,255,255,255
8,7.045,255,255,255
9,13.838,255,255,255
10,9.561,255,255,255
11,12.328,255,255,255
12,7.548,255,255,255
13,3.522,255,255,255
14,5.535,255,255,255
15,4.780,255,255,255
16,4.277,255,255,255
17,9.812,255,255,255
18,7.296,255,255,255
19,21.638,255,255,255
20,9.058,255,255,255
21,8.303,255,255,255
22,4.529,255,255,255
23,12.328,255,255,255
24,12.832,255,255,255
25,10.316,255,255,255
26,3.774,255,255,255
27,9.058,255,255,255
28,3.522,255,255,255
29,11.070,255,255,255
30,14.341,255,255,255
31,8.303,255,255,255
32,4.026,255,255,255
33,8.554,255,255,255
34,9.561,255,255,255
35,7.548,255,255,255
36,6.793,255,255,255
37,3.774,255,255,255
38,3.774,255,255,255
39,4.780,255,255,255
40,5.535,255,255,255
41,4.026,255,255,255
42,12.832,255,255,255
43,5.032,255,255,255
44,10.567,255,255,255
45,3.271,255,255,255
46,7.045,255,255,255
47,4.026,255,255,255
48,4.277,255,255,255
49,4.026,255,255,255
50,8.806,255,255,255
51,3.774,255,255,255
52,11.825,255,255,255
53,9.058,255,255,255
54,4.529,255,255,255
55,8.806,255,255,255
56,15.851,255,255,255
57,11.322,255,255,255
58,4.277,255,255,255
59,13.083,255,255,255
60,7.800,255,255,255
61,21.638,255,255,255
62,5.787,255,255,255
63,7.296,255,255,255
64,5.032,255,255,255
65,9.058,255,255,255
66,3.271,255,255,255
67,6.038,255,255,255
68,5.787,255,255,255
69,7.296,255,255,255
70,4.277,255,255,255
71,9.812,255,255,255
72,4.026,255,255,255
73,4.026,255,255,255
74,8.806,255,255,255
75,16.606,255,255,255
76,6.793,255,255,255
77,5.787,255,255,255
78,9.309,255,255,255
79,5.032,255,255,255
80,10.316,255,255,255
