 ,Area,Mean,Min,Max
1,1.258,255,255,255
2,12.832,255,255,255
3,6.793,255,255,255
4,5.535,255,255,255
5,6.290,255,255,255
6,4.780,255,255,255
7,4.529,255,255,255
8,10.567,255,255,255
9,6.793,255,255,255
10,10.819,255,255,255
11,8.303,255,255,255
12,8.806,255,255,255
13,4.529,255,255,255
14,4.277,255,255,255
15,4.529,255,255,255
16,5.032,255,255,255
17,3.774,255,255,255
18,15.348,255,255,255
19,22.393,255,255,255
20,4.780,255,255,255
21,6.542,255,255,255
22,11.574,255,255,255
23,3.774,255,255,255
24,10.316,255,255,255
25,4.026,255,255,255
26,4.529,255,255,255
27,4.026,255,255,255
28,7.045,255,255,255
29,7.548,255,255,255
30,6.290,255,255,255
31,5.032,255,255,255
32,7.296,255,255,255
33,5.032,255,255,255
34,5.787,255,255,255
35,4.780,255,255,255
36,5.032,255,255,255
37,3.271,255,255,255
38,1.006,255,255,255
39,4.026,255,255,255
40,10.064,255,255,255
41,7.548,255,255,255
42,4.529,255,255,255
43,4.529,255,255,255
44,4.026,255,255,255
45,4.780,255,255,255
46,4.026,255,255,255
47,3.019,255,255,255
48,8.554,255,255,255
49,7.045,255,255,255
50,5.787,255,255,255
51,23.651,255,255,255
52,7.045,255,255,255
53,16.102,255,255,255
54,8.051,255,255,255
55,15.851,255,255,255
56,20.128,255,255,255
57,6.542,255,255,255
58,5.535,255,255,255
59,14.341,255,255,255
60,5.284,255,255,255
61,11.322,255,255,255
62,8.806,255,255,255
63,5.032,255,255,255
64,4.529,255,255,255
65,10.819,255,255,255
66,3.271,255,255,255
67,13.083,255,255,255
68,5.284,255,255,255
69,6.542,255,255,255
70,3.271,255,255,255
71,12.832,255,255,255
72,15.348,255,255,255
73,13.838,255,255,255
74,4.780,255,255,255
75,9.561,255,255,255
76,4.277,255,255,255
77,7.296,255,255,255
78,8.051,255,255,255
79,6.793,255,255,255
80,6.038,255,255,255
81,6.793,255,255,255
82,23.399,255,255,255
83,16.606,255,255,255
84,18.367,255,255,255
85,8.806,255,255,255
86,6.290,255,255,255
87,3.271,255,255,255
88,8.554,255,255,255
89,4.780,255,255,255
90,8.303,255,255,255
91,6.038,255,255,255
92,9.812,255,255,255
93,7.548,255,255,255
94,3.522,255,255,255
95,4.780,255,255,255
96,12.580,255,255,255
97,6.038,255,255,255
98,3.522,255,255,255
99,3.774,255,255,255
100,14.090,255,255,255
101,7.296,255,255,255
102,4.026,255,255,255
103,3.774,255,255,255
104,12.580,255,255,255
105,5.535,255,255,255
106,11.322,255,255,255
107,3.271,255,255,255
108,4.529,255,255,255
109,5.032,255,255,255
110,4.277,255,255,255
111,7.296,255,255,255
112,4.529,255,255,255
113,5.032,255,255,255
114,4.026,255,255,255
115,10.819,255,255,255
116,5.535,255,255,255
117,4.026,255,255,255
118,9.058,255,255,255
119,7.548,255,255,255
120,3.271,255,255,255
121,6.290,255,255,255
122,4.780,255,255,255
123,7.045,255,255,255
124,4.277,255,255,255
125,3.522,255,255,255
126,5.787,255,255,255
127,3.522,255,255,255
128,10.316,255,255,255
129,12.832,255,255,255
130,4.026,255,255,255
131,5.284,255,255,255
132,5.032,255,255,255
133,7.296,255,255,255
134,5.535,255,255,255
135,10.064,255,255,255
136,7.800,255,255,255
137,5.787,255,255,255
138,8.051,255,255,255
139,4.780,255,255,255
140,12.832,255,255,255
141,6.542,255,255,255
142,4.026,255,255,255
143,4.026,255,255,255
144,3.522,255,255,255
145,19.373,255,255,255
146,11.070,255,255,255
147,4.277,255,255,255
148,13.586,255,255,255
149,5.284,255,255,255
150,8.051,255,255,255
151,3.271,255,255,255
152,3.019,255,255,255
153,7.548,255,255,255
154,8.303,255,255,255
155,12.580,255,255,255
156,21.135,255,255,255
157,7.548,255,255,255
158,7.296,255,255,255
159,8.051,255,255,255
160,5.032,255,255,255
161,8.806,255,255,255
162,10.567,255,255,255
163,4.529,255,255,255
164,6.793,255,255,255
165,6.290,255,255,255
166,4.026,255,255,255
167,6.542,255,255,255
168,7.045,255,255,255
169,12.580,255,255,255
170,9.812,255,255,255
171,4.277,255,255,255
172,8.303,255,255,255
173,4.780,255,255,255
174,4.026,255,255,255
175,20.883,255,255,255
176,7.800,255,255,255
177,3.522,255,255,255
178,6.542,255,255,255
179,5.032,255,255,255
180,6.793,255,255,255
181,3.522,255,255,255
182,10.316,255,255,255
183,4.780,255,255,255
184,6.793,255,255,255
185,10.064,255,255,255
186,14.844,255,255,255
187,4.277,255,255,255
188,6.793,255,255,255
189,16.857,255,255,255
190,5.032,255,255,255
191,3.774,255,255,255
192,4.780,255,255,255
193,4.026,255,255,255
194,3.522,255,255,255
195,3.271,255,255,255
196,4.026,255,255,255
197,24.405,255,255,255
198,4.277,255,255,255
199,7.800,255,255,255
200,6.542,255,255,255
201,10.064,255,255,255
202,5.284,255,255,255
203,11.574,255,255,255
204,5.032,255,255,255
205,4.026,255,255,255
206,1.510,255,255,255
207,20.128,255,255,255
208,8.806,255,255,255
209,7.296,255,255,255
210,4.277,255,255,255
211,3.271,255,255,255
212,24.405,255,255,255
213,5.535,255,255,255
214,25.412,255,255,255
215,4.277,255,255,255
216,4.780,255,255,255
217,6.542,255,255,255
218,13.083,255,255,255
219,4.026,255,255,255
220,4.529,255,255,255
221,5.032,255,255,255
222,7.800,255,255,255
223,4.780,255,255,255
224,6.542,255,255,255
225,5.535,255,255,255
226,10.567,255,255,255
227,14.341,255,255,255
228,12.580,255,255,255
229,10.819,255,255,255
230,4.780,255,255,255
231,3.774,255,255,255
232,4.529,255,255,255
233,4.277,255,255,255
234,15.096,255,255,255
235,4.277,255,255,255
236,7.045,255,255,255
237,3.522,255,255,255
238,5.032,255,255,255
239,6.038,255,255,255
240,7.800,255,255,255
241,4.026,255,255,255
242,5.535,255,255,255
243,11.574,255,255,255
244,6.793,255,255,255
245,2.768,255,255,255
246,13.838,255,255,255
247,6.290,255,255,255
248,7.800,255,255,255
249,3.522,255,255,255
250,5.787,255,255,255
251,4.026,255,255,255
252,19.373,255,255,255
253,6.038,255,255,255
254,8.051,255,255,255
255,5.032,255,255,255
256,3.271,255,255,255
257,6.038,255,255,255
258,9.561,255,255,255
259,9.812,255,255,255
260,3.522,255,255,255
261,6.038,255,255,255
262,3.522,255,255,255
263,15.599,255,255,255
264,12.328,255,255,255
265,11.825,255,255,255
266,12.328,255,255,255
267,6.290,255,255,255
268,3.019,255,255,255
269,7.548,255,255,255
270,5.032,255,255,255
271,3.522,255,255,255
272,4.277,255,255,255
273,15.599,255,255,255
274,13.335,255,255,255
275,7.045,255,255,255
276,4.780,255,255,255
277,4.529,255,255,255
278,14.341,255,255,255
279,9.058,255,255,255
280,4.780,255,255,255
281,10.567,255,255,255
282,4.780,255,255,255
283,18.367,255,255,255
284,4.026,255,255,255
285,4.780,255,255,255
286,26.418,255,255,255
287,10.064,255,255,255
288,5.032,255,255,255
289,13.838,255,255,255
290,6.038,255,255,255
291,5.284,255,255,255
292,5.284,255,255,255
293,11.574,255,255,255
294,4.780,255,255,255
295,4.277,255,255,255
296,5.032,255,255,255
297,11.070,255,255,255
298,7.800,255,255,255
299,4.026,255,255,255
300,4.780,255,255,255
301,7.800,255,255,255
302,19.876,255,255,255
303,4.026,255,255,255
304,4.277,255,255,255
305,3.774,255,255,255
306,5.284,255,255,255
307,5.535,255,255,255
308,3.522,255,255,255
309,5.535,255,255,255
310,3.774,255,255,255
311,4.277,255,255,255
312,6.793,255,255,255
313,11.070,255,255,255
314,5.032,255,255,255
315,5.032,255,255,255
316,13.586,255,255,255
317,7.045,255,255,255
318,4.780,255,255,255
319,4.277,255,255,255
320,5.032,255,255,255
321,10.567,255,255,255
322,3.271,255,255,255
323,6.290,255,255,255
324,3.774,255,255,255
325,3.522,255,255,255
326,5.787,255,255,255
327,1.006,255,255,255
328,15.851,255,255,255
329,9.309,255,255,255
330,7.045,255,255,255
331,10.819,255,255,255
332,8.303,255,255,255
333,5.787,255,255,255
334,5.032,255,255,255
335,6.038,255,255,255
336,12.832,255,255,255
337,15.851,255,255,255
338,3.522,255,255,255
339,13.335,255,255,255
340,4.780,255,255,255
341,4.780,255,255,255
342,3.774,255,255,255
343,3.522,255,255,255
344,14.090,255,255,255
345,9.812,255,255,255
346,3.522,255,255,255
347,4.780,255,255,255
348,8.806,255,255,255
349,3.774,255,255,255
350,4.026,255,255,255
351,5.032,255,255,255
352,7.548,255,255,255
353,4.529,255,255,255
354,6.038,255,255,255
355,6.038,255,255,255
356,6.793,255,255,255
357,11.322,255,255,255
358,16.857,255,255,255
359,10.316,255,255,255
360,4.529,255,255,255
361,4.026,255,255,255
362,5.787,255,255,255
363,6.793,255,255,255
364,10.064,255,255,255
365,7.296,255,255,255
366,3.271,255,255,255
367,6.038,255,255,255
368,8.303,255,255,255
369,11.322,255,255,255
370,4.529,255,255,255
371,14.090,255,255,255
372,7.800,255,255,255
373,16.857,255,255,255
374,6.542,255,255,255
375,9.561,255,255,255
376,4.026,255,255,255
377,18.367,255,255,255
378,3.522,255,255,255
379,7.548,255,255,255
380,3.271,255,255,255
381,3.774,255,255,255
382,14.844,255,255,255
383,5.032,255,255,255
384,18.870,255,255,255
385,10.819,255,255,255
386,4.529,255,255,255
387,12.580,255,255,255
388,4.026,255,255,255
389,6.038,255,255,255
390,8.051,255,255,255
391,3.271,255,255,255
392,9.058,255,255,255
393,5.284,255,255,255
394,6.793,255,255,255
395,4.026,255,255,255
396,3.522,255,255,255
397,4.780,255,255,255
398,6.290,255,255,255
399,11.070,255,255,255
400,5.284,255,255,255
401,7.045,255,255,255
402,6.290,255,255,255
403,5.284,255,255,255
404,6.542,255,255,255
405,5.032,255,255,255
406,6.793,255,255,255
407,14.341,255,255,255
408,4.529,255,255,255
409,8.554,255,255,255
410,8.806,255,255,255
411,7.800,255,255,255
412,4.277,255,255,255
413,5.032,255,255,255
414,10.064,255,255,255
415,11.574,255,255,255
416,10.567,255,255,255
417,5.787,255,255,255
418,3.774,255,255,255
419,9.812,255,255,255
420,4.780,255,255,255
421,5.787,255,255,255
422,3.774,255,255,255
423,3.774,255,255,255
424,6.542,255,255,255
425,6.793,255,255,255
426,3.774,255,255,255
427,5.535,255,255,255
428,7.548,255,255,255
429,7.800,255,255,255
430,5.284,255,255,255
431,5.032,255,255,255
432,11.322,255,255,255
433,7.045,255,255,255
434,5.032,255,255,255
435,10.064,255,255,255
436,3.271,255,255,255
437,4.780,255,255,255
438,4.277,255,255,255
439,5.284,255,255,255
440,9.812,255,255,255
441,4.026,255,255,255
442,7.296,255,255,255
443,9.058,255,255,255
444,5.535,255,255,255
445,5.787,255,255,255
446,7.296,255,255,255
447,4.529,255,255,255
448,8.554,255,255,255
449,9.058,255,255,255
450,7.548,255,255,255
451,3.271,255,255,255
452,6.038,255,255,255
453,4.529,255,255,255
454,7.800,255,255,255
455,6.793,255,255,255
456,4.026,255,255,255
457,4.026,255,255,255
458,4.780,255,255,255
459,6.038,255,255,255
460,4.529,255,255,255
461,5.787,255,255,255
