Slice,Count,Total Area,Average Size,%Area,Mean
H19.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_red,12719,120686.580,9.489,1.860,255
H19.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,3331,22869.547,6.866,0.352,255
H19.33.004-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,280,1319.900,4.714,0.020,255
H20.33.002-A01-NEUN_Layer5-6_analysis_30pct.tif_red,17443,172589.654,9.894,2.813,255
H20.33.002-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,4055,29833.619,7.357,0.486,255
H20.33.002-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,1958,12249.710,6.256,0.200,255
H20.33.005-A1-NEUN_Layer5-6_analysis_30pct.tif_red,123,890.668,7.241,0.020,255
H20.33.005-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,1997,16237.590,8.131,0.358,255
H20.33.005-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,2858,20058.910,7.019,0.442,255
H20.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_red,9958,75329.918,7.565,0.786,255
H20.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,11151,97269.799,8.723,1.015,255
H20.33.027-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,11833,78997.258,6.676,0.824,255
H20.33.035-A1-NEUN_Layer5-6_analysis_30pct.tif_red,32318,267411.624,8.274,2.816,255
H20.33.035-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,3447,22010.832,6.386,0.232,255
H20.33.035-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,1518,9844.151,6.485,0.104,255
H21.33.011-A2-NEUN_Layer5-6_analysis_30pct.tif_red,18189,181888.585,10.000,3.415,255
H21.33.011-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,1505,9103.688,6.049,0.171,255
H21.33.011-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,22,116.995,5.318,0.002,255
H21.33.041-A1-NEUN_Layer5-6_analysis_30pct.tif_red,9547,86110.026,9.020,1.851,255
H21.33.041-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,1381,10512.907,7.613,0.226,255
H21.33.041-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,0,0.000,NaN,0.000,NaN
