 ,Area,Mean,Min,Max
1,3.271,255,255,255
2,4.780,255,255,255
3,8.806,255,255,255
4,6.038,255,255,255
5,6.038,255,255,255
6,11.070,255,255,255
7,5.535,255,255,255
8,8.051,255,255,255
9,4.277,255,255,255
10,9.309,255,255,255
11,5.284,255,255,255
12,5.284,255,255,255
13,4.026,255,255,255
14,6.542,255,255,255
15,4.026,255,255,255
16,5.284,255,255,255
17,6.038,255,255,255
18,3.522,255,255,255
19,3.522,255,255,255
20,11.070,255,255,255
21,8.303,255,255,255
22,4.780,255,255,255
23,4.026,255,255,255
24,11.322,255,255,255
25,5.032,255,255,255
26,4.529,255,255,255
27,13.335,255,255,255
28,19.876,255,255,255
29,4.277,255,255,255
30,3.522,255,255,255
31,5.535,255,255,255
32,22.644,255,255,255
33,3.522,255,255,255
34,8.303,255,255,255
35,6.038,255,255,255
36,9.812,255,255,255
37,4.277,255,255,255
38,26.921,255,255,255
39,5.535,255,255,255
40,6.290,255,255,255
41,13.586,255,255,255
42,5.535,255,255,255
43,7.548,255,255,255
44,21.386,255,255,255
45,7.800,255,255,255
46,3.271,255,255,255
47,1.258,255,255,255
48,15.348,255,255,255
49,4.529,255,255,255
50,5.787,255,255,255
51,6.038,255,255,255
52,6.793,255,255,255
53,8.806,255,255,255
54,4.780,255,255,255
55,15.096,255,255,255
56,14.090,255,255,255
57,7.548,255,255,255
58,4.780,255,255,255
59,20.128,255,255,255
60,18.870,255,255,255
61,8.806,255,255,255
62,19.122,255,255,255
63,10.064,255,255,255
64,8.051,255,255,255
65,11.322,255,255,255
66,15.599,255,255,255
67,4.780,255,255,255
68,4.780,255,255,255
69,7.045,255,255,255
70,15.348,255,255,255
71,9.058,255,255,255
72,23.902,255,255,255
73,8.303,255,255,255
74,3.774,255,255,255
75,6.038,255,255,255
76,5.032,255,255,255
77,6.038,255,255,255
78,17.109,255,255,255
79,6.793,255,255,255
80,7.800,255,255,255
81,14.844,255,255,255
82,6.290,255,255,255
83,5.032,255,255,255
84,15.348,255,255,255
85,6.793,255,255,255
86,8.806,255,255,255
87,8.554,255,255,255
88,16.354,255,255,255
89,12.580,255,255,255
90,7.548,255,255,255
91,3.774,255,255,255
92,15.851,255,255,255
93,14.090,255,255,255
94,4.780,255,255,255
95,4.026,255,255,255
96,6.793,255,255,255
97,16.606,255,255,255
98,10.316,255,255,255
99,4.780,255,255,255
100,6.038,255,255,255
101,5.535,255,255,255
102,6.038,255,255,255
103,4.277,255,255,255
104,5.032,255,255,255
105,5.284,255,255,255
106,9.058,255,255,255
107,4.026,255,255,255
108,5.032,255,255,255
109,6.038,255,255,255
110,6.793,255,255,255
111,13.335,255,255,255
112,5.787,255,255,255
113,6.290,255,255,255
114,15.348,255,255,255
115,6.542,255,255,255
116,12.832,255,255,255
117,22.141,255,255,255
118,4.529,255,255,255
119,5.787,255,255,255
120,18.115,255,255,255
121,14.593,255,255,255
122,6.542,255,255,255
123,5.032,255,255,255
124,8.303,255,255,255
125,8.554,255,255,255
126,6.793,255,255,255
127,4.780,255,255,255
128,5.032,255,255,255
129,11.574,255,255,255
130,21.638,255,255,255
131,5.787,255,255,255
132,8.806,255,255,255
133,4.277,255,255,255
134,6.290,255,255,255
135,14.593,255,255,255
136,13.838,255,255,255
