 ,Area,Mean,Min,Max
1,6.038,255,255,255
2,1.761,255,255,255
3,7.045,255,255,255
4,4.026,255,255,255
5,5.032,255,255,255
6,4.026,255,255,255
7,6.290,255,255,255
8,8.303,255,255,255
9,3.522,255,255,255
10,6.793,255,255,255
11,5.787,255,255,255
12,4.277,255,255,255
13,3.271,255,255,255
14,4.026,255,255,255
15,6.542,255,255,255
16,19.876,255,255,255
17,5.284,255,255,255
18,4.529,255,255,255
19,3.271,255,255,255
20,7.800,255,255,255
21,8.554,255,255,255
22,5.787,255,255,255
23,4.277,255,255,255
24,7.045,255,255,255
25,6.542,255,255,255
26,15.348,255,255,255
27,24.405,255,255,255
28,3.522,255,255,255
29,4.529,255,255,255
30,6.290,255,255,255
31,5.535,255,255,255
32,4.277,255,255,255
33,6.290,255,255,255
34,5.284,255,255,255
35,8.051,255,255,255
36,5.284,255,255,255
37,3.522,255,255,255
38,8.303,255,255,255
39,6.542,255,255,255
40,6.038,255,255,255
41,7.296,255,255,255
42,3.774,255,255,255
43,7.548,255,255,255
44,5.535,255,255,255
45,12.328,255,255,255
46,4.026,255,255,255
47,4.780,255,255,255
48,15.851,255,255,255
49,5.284,255,255,255
50,13.586,255,255,255
51,8.051,255,255,255
52,7.548,255,255,255
53,8.806,255,255,255
54,6.542,255,255,255
55,4.780,255,255,255
56,6.542,255,255,255
57,7.548,255,255,255
58,3.271,255,255,255
59,5.284,255,255,255
60,14.593,255,255,255
61,16.354,255,255,255
62,6.793,255,255,255
63,6.290,255,255,255
64,8.303,255,255,255
65,7.045,255,255,255
66,8.554,255,255,255
67,9.058,255,255,255
68,11.070,255,255,255
69,12.328,255,255,255
70,10.064,255,255,255
71,7.548,255,255,255
72,5.535,255,255,255
73,5.787,255,255,255
74,3.019,255,255,255
75,7.800,255,255,255
76,9.058,255,255,255
77,5.284,255,255,255
78,3.774,255,255,255
79,5.535,255,255,255
80,10.567,255,255,255
81,3.271,255,255,255
82,6.542,255,255,255
83,10.316,255,255,255
84,6.542,255,255,255
85,6.038,255,255,255
86,6.290,255,255,255
87,9.561,255,255,255
88,8.051,255,255,255
89,8.554,255,255,255
90,7.548,255,255,255
91,6.038,255,255,255
92,8.806,255,255,255
93,5.284,255,255,255
94,3.774,255,255,255
95,5.032,255,255,255
96,5.787,255,255,255
97,5.787,255,255,255
98,5.535,255,255,255
99,36.734,255,255,255
100,6.793,255,255,255
101,8.806,255,255,255
102,4.780,255,255,255
103,6.542,255,255,255
104,4.026,255,255,255
105,5.284,255,255,255
106,3.774,255,255,255
107,8.303,255,255,255
108,5.284,255,255,255
109,4.529,255,255,255
110,10.819,255,255,255
111,18.618,255,255,255
112,10.316,255,255,255
113,4.026,255,255,255
114,6.542,255,255,255
115,5.787,255,255,255
116,6.793,255,255,255
117,3.522,255,255,255
118,3.271,255,255,255
119,4.026,255,255,255
120,5.032,255,255,255
121,10.064,255,255,255
122,7.800,255,255,255
123,4.780,255,255,255
