 ,Area,Mean,Min,Max
1,4.026,255,255,255
2,3.271,255,255,255
3,4.529,255,255,255
4,6.038,255,255,255
5,7.296,255,255,255
6,9.058,255,255,255
7,4.026,255,255,255
8,7.045,255,255,255
9,6.542,255,255,255
10,3.774,255,255,255
11,7.045,255,255,255
12,5.284,255,255,255
13,7.548,255,255,255
14,4.277,255,255,255
15,6.038,255,255,255
16,5.032,255,255,255
17,3.019,255,255,255
18,3.774,255,255,255
19,4.277,255,255,255
20,4.780,255,255,255
21,7.548,255,255,255
22,6.290,255,255,255
23,5.032,255,255,255
24,6.793,255,255,255
25,8.303,255,255,255
26,3.774,255,255,255
27,5.535,255,255,255
28,8.554,255,255,255
29,5.535,255,255,255
30,4.277,255,255,255
31,4.529,255,255,255
32,4.780,255,255,255
33,3.522,255,255,255
34,3.019,255,255,255
35,3.271,255,255,255
36,6.038,255,255,255
37,5.032,255,255,255
38,5.032,255,255,255
39,3.774,255,255,255
40,5.032,255,255,255
41,2.768,255,255,255
42,3.271,255,255,255
43,3.522,255,255,255
44,3.271,255,255,255
45,5.284,255,255,255
46,4.026,255,255,255
47,3.522,255,255,255
48,5.284,255,255,255
49,11.825,255,255,255
50,3.774,255,255,255
51,4.529,255,255,255
52,3.271,255,255,255
53,4.780,255,255,255
54,4.780,255,255,255
55,4.026,255,255,255
56,3.271,255,255,255
57,4.026,255,255,255
58,7.045,255,255,255
59,3.774,255,255,255
60,5.284,255,255,255
61,3.774,255,255,255
62,4.780,255,255,255
63,4.780,255,255,255
64,5.032,255,255,255
65,6.542,255,255,255
66,3.271,255,255,255
67,5.032,255,255,255
68,3.271,255,255,255
69,3.522,255,255,255
70,3.271,255,255,255
71,3.271,255,255,255
72,4.780,255,255,255
73,4.529,255,255,255
74,4.780,255,255,255
75,4.780,255,255,255
76,3.774,255,255,255
77,6.542,255,255,255
78,2.516,255,255,255
79,5.032,255,255,255
80,3.271,255,255,255
81,4.529,255,255,255
82,3.522,255,255,255
83,3.522,255,255,255
84,3.774,255,255,255
85,6.542,255,255,255
86,4.026,255,255,255
87,4.277,255,255,255
88,6.038,255,255,255
89,4.780,255,255,255
90,3.019,255,255,255
91,4.529,255,255,255
92,5.284,255,255,255
93,4.529,255,255,255
94,4.026,255,255,255
95,8.051,255,255,255
96,4.529,255,255,255
97,4.277,255,255,255
98,3.019,255,255,255
99,4.026,255,255,255
100,4.529,255,255,255
101,6.793,255,255,255
102,3.271,255,255,255
103,3.522,255,255,255
104,10.567,255,255,255
105,5.032,255,255,255
106,4.277,255,255,255
107,4.026,255,255,255
108,3.271,255,255,255
109,3.774,255,255,255
110,6.038,255,255,255
111,3.271,255,255,255
112,3.271,255,255,255
113,4.780,255,255,255
114,4.780,255,255,255
115,4.529,255,255,255
116,4.529,255,255,255
117,4.529,255,255,255
118,4.026,255,255,255
119,4.277,255,255,255
120,7.296,255,255,255
121,5.284,255,255,255
122,11.574,255,255,255
123,4.780,255,255,255
124,5.032,255,255,255
125,4.026,255,255,255
126,2.013,255,255,255
127,2.516,255,255,255
128,3.271,255,255,255
129,6.542,255,255,255
130,3.271,255,255,255
131,4.780,255,255,255
132,3.019,255,255,255
133,2.768,255,255,255
134,7.045,255,255,255
135,4.529,255,255,255
136,4.780,255,255,255
137,4.277,255,255,255
138,6.542,255,255,255
139,4.026,255,255,255
140,4.026,255,255,255
141,3.522,255,255,255
142,3.522,255,255,255
143,3.271,255,255,255
144,3.774,255,255,255
145,4.277,255,255,255
146,7.296,255,255,255
147,5.284,255,255,255
148,4.529,255,255,255
149,4.780,255,255,255
150,5.032,255,255,255
151,9.561,255,255,255
152,4.529,255,255,255
153,4.277,255,255,255
154,3.522,255,255,255
155,4.780,255,255,255
156,7.045,255,255,255
157,4.780,255,255,255
158,5.787,255,255,255
159,6.542,255,255,255
160,5.535,255,255,255
161,3.271,255,255,255
162,3.271,255,255,255
163,3.019,255,255,255
164,3.271,255,255,255
165,3.019,255,255,255
166,3.774,255,255,255
167,3.522,255,255,255
168,3.019,255,255,255
169,18.115,255,255,255
170,4.277,255,255,255
171,5.535,255,255,255
172,4.026,255,255,255
173,3.522,255,255,255
174,6.038,255,255,255
175,8.554,255,255,255
176,3.019,255,255,255
177,3.774,255,255,255
178,3.271,255,255,255
179,3.522,255,255,255
180,7.548,255,255,255
181,3.271,255,255,255
182,3.019,255,255,255
183,3.774,255,255,255
184,4.277,255,255,255
185,4.277,255,255,255
186,4.026,255,255,255
187,5.032,255,255,255
188,3.271,255,255,255
189,9.561,255,255,255
190,3.019,255,255,255
191,3.774,255,255,255
192,4.026,255,255,255
193,4.026,255,255,255
194,5.535,255,255,255
195,5.284,255,255,255
196,3.774,255,255,255
197,3.522,255,255,255
198,3.271,255,255,255
199,4.026,255,255,255
200,3.522,255,255,255
201,4.026,255,255,255
202,7.045,255,255,255
203,3.271,255,255,255
204,4.277,255,255,255
205,7.045,255,255,255
206,5.032,255,255,255
207,4.529,255,255,255
208,4.026,255,255,255
209,4.277,255,255,255
210,6.290,255,255,255
211,5.032,255,255,255
212,3.774,255,255,255
213,4.026,255,255,255
214,3.522,255,255,255
215,3.774,255,255,255
216,3.522,255,255,255
217,3.774,255,255,255
218,3.774,255,255,255
219,3.522,255,255,255
220,2.768,255,255,255
221,4.529,255,255,255
222,3.522,255,255,255
223,6.038,255,255,255
224,3.774,255,255,255
225,3.271,255,255,255
226,5.535,255,255,255
227,3.522,255,255,255
228,3.522,255,255,255
229,3.522,255,255,255
230,3.774,255,255,255
231,4.529,255,255,255
232,3.271,255,255,255
233,4.277,255,255,255
234,3.271,255,255,255
235,5.284,255,255,255
236,4.529,255,255,255
237,3.522,255,255,255
238,6.793,255,255,255
239,4.277,255,255,255
240,3.522,255,255,255
241,4.529,255,255,255
242,3.019,255,255,255
243,8.806,255,255,255
244,5.535,255,255,255
245,6.290,255,255,255
246,6.290,255,255,255
247,6.793,255,255,255
248,3.774,255,255,255
249,3.774,255,255,255
250,3.271,255,255,255
251,5.535,255,255,255
252,3.271,255,255,255
253,3.271,255,255,255
254,5.535,255,255,255
255,5.535,255,255,255
256,3.271,255,255,255
257,4.277,255,255,255
258,4.277,255,255,255
259,8.303,255,255,255
260,4.026,255,255,255
261,3.774,255,255,255
262,5.535,255,255,255
263,4.277,255,255,255
264,5.535,255,255,255
265,3.271,255,255,255
266,3.522,255,255,255
267,2.264,255,255,255
268,5.032,255,255,255
269,3.774,255,255,255
270,3.774,255,255,255
271,8.554,255,255,255
272,5.032,255,255,255
273,4.026,255,255,255
274,4.529,255,255,255
275,4.026,255,255,255
276,5.535,255,255,255
277,6.290,255,255,255
278,6.038,255,255,255
279,3.522,255,255,255
280,6.290,255,255,255
