 ,Area,Mean,Min,Max
1,1.006,255,255,255
2,1.258,255,255,255
3,1.006,255,255,255
4,1.006,255,255,255
5,1.006,255,255,255
6,1.006,255,255,255
7,9.058,255,255,255
8,1.006,255,255,255
9,1.761,255,255,255
10,1.510,255,255,255
11,1.006,255,255,255
12,4.529,255,255,255
13,1.006,255,255,255
14,1.006,255,255,255
15,1.006,255,255,255
16,6.542,255,255,255
17,1.006,255,255,255
18,1.761,255,255,255
19,1.006,255,255,255
20,1.761,255,255,255
21,5.535,255,255,255
22,3.019,255,255,255
23,1.006,255,255,255
24,1.006,255,255,255
25,4.026,255,255,255
26,1.006,255,255,255
27,1.761,255,255,255
28,1.761,255,255,255
29,1.006,255,255,255
30,1.006,255,255,255
31,1.006,255,255,255
32,1.006,255,255,255
33,1.510,255,255,255
34,3.522,255,255,255
35,1.006,255,255,255
36,2.013,255,255,255
37,1.006,255,255,255
38,1.006,255,255,255
39,1.761,255,255,255
40,1.258,255,255,255
41,1.006,255,255,255
42,1.006,255,255,255
43,2.768,255,255,255
44,1.006,255,255,255
45,2.768,255,255,255
46,1.510,255,255,255
47,8.051,255,255,255
48,1.761,255,255,255
49,107.434,255,255,255
50,3.019,255,255,255
51,1.258,255,255,255
52,1.258,255,255,255
53,1.006,255,255,255
54,4.277,255,255,255
55,1.006,255,255,255
56,1.006,255,255,255
57,2.516,255,255,255
58,1.258,255,255,255
59,1.006,255,255,255
60,1.006,255,255,255
61,2.013,255,255,255
62,1.761,255,255,255
63,1.761,255,255,255
64,1.258,255,255,255
65,7.045,255,255,255
66,2.516,255,255,255
67,1.006,255,255,255
68,2.013,255,255,255
69,1.006,255,255,255
70,1.258,255,255,255
71,2.516,255,255,255
72,1.258,255,255,255
73,1.006,255,255,255
74,1.258,255,255,255
75,1.006,255,255,255
76,2.516,255,255,255
77,1.006,255,255,255
78,1.258,255,255,255
79,1.006,255,255,255
80,2.768,255,255,255
81,1.006,255,255,255
82,1.006,255,255,255
83,1.006,255,255,255
84,1.006,255,255,255
85,1.510,255,255,255
86,1.006,255,255,255
87,3.019,255,255,255
88,1.258,255,255,255
89,3.271,255,255,255
90,1.006,255,255,255
91,1.006,255,255,255
92,1.006,255,255,255
93,1.258,255,255,255
94,2.013,255,255,255
95,1.006,255,255,255
96,1.006,255,255,255
97,1.258,255,255,255
98,8.051,255,255,255
99,1.006,255,255,255
100,1.510,255,255,255
101,2.013,255,255,255
102,1.006,255,255,255
103,1.258,255,255,255
104,3.271,255,255,255
105,3.522,255,255,255
106,1.006,255,255,255
107,1.510,255,255,255
108,2.768,255,255,255
109,2.516,255,255,255
110,1.761,255,255,255
111,1.006,255,255,255
112,1.510,255,255,255
113,1.006,255,255,255
114,1.761,255,255,255
115,2.264,255,255,255
116,1.761,255,255,255
117,1.006,255,255,255
118,3.271,255,255,255
119,1.258,255,255,255
120,2.013,255,255,255
121,1.761,255,255,255
122,1.006,255,255,255
123,1.006,255,255,255
124,1.006,255,255,255
125,1.510,255,255,255
126,1.510,255,255,255
127,1.510,255,255,255
128,1.258,255,255,255
129,1.006,255,255,255
130,1.006,255,255,255
131,1.510,255,255,255
132,1.006,255,255,255
133,1.258,255,255,255
134,1.761,255,255,255
