 ,Area,Mean,Min,Max
1,1.761,255,255,255
2,1.006,255,255,255
3,1.510,255,255,255
4,1.258,255,255,255
5,1.006,255,255,255
6,1.510,255,255,255
7,1.761,255,255,255
8,1.510,255,255,255
9,2.264,255,255,255
10,1.258,255,255,255
11,4.026,255,255,255
12,2.013,255,255,255
13,1.510,255,255,255
14,2.013,255,255,255
15,3.019,255,255,255
16,1.510,255,255,255
17,1.258,255,255,255
18,1.258,255,255,255
19,1.258,255,255,255
20,1.006,255,255,255
21,1.006,255,255,255
22,2.013,255,255,255
23,1.510,255,255,255
24,1.006,255,255,255
25,1.510,255,255,255
26,1.006,255,255,255
27,2.264,255,255,255
28,1.510,255,255,255
29,1.006,255,255,255
30,1.006,255,255,255
31,1.510,255,255,255
32,1.006,255,255,255
33,1.258,255,255,255
34,1.510,255,255,255
35,1.006,255,255,255
36,1.258,255,255,255
37,1.006,255,255,255
38,2.013,255,255,255
39,1.258,255,255,255
40,1.761,255,255,255
41,1.006,255,255,255
42,3.774,255,255,255
43,1.258,255,255,255
44,1.761,255,255,255
45,1.258,255,255,255
46,1.258,255,255,255
47,1.006,255,255,255
48,1.258,255,255,255
49,1.006,255,255,255
50,1.006,255,255,255
51,1.258,255,255,255
52,1.258,255,255,255
53,1.761,255,255,255
54,1.510,255,255,255
55,1.258,255,255,255
56,1.006,255,255,255
57,1.510,255,255,255
58,1.006,255,255,255
59,1.510,255,255,255
60,1.258,255,255,255
61,1.006,255,255,255
62,1.258,255,255,255
63,1.258,255,255,255
64,1.510,255,255,255
65,1.258,255,255,255
66,1.510,255,255,255
67,1.006,255,255,255
68,1.510,255,255,255
69,1.258,255,255,255
70,1.258,255,255,255
71,1.510,255,255,255
72,1.006,255,255,255
73,1.006,255,255,255
74,1.006,255,255,255
75,1.258,255,255,255
76,1.510,255,255,255
77,1.510,255,255,255
78,1.006,255,255,255
79,1.006,255,255,255
80,1.761,255,255,255
81,1.510,255,255,255
82,1.006,255,255,255
83,1.510,255,255,255
84,1.006,255,255,255
85,2.013,255,255,255
86,1.006,255,255,255
87,1.258,255,255,255
88,1.761,255,255,255
89,1.006,255,255,255
90,1.510,255,255,255
91,2.516,255,255,255
92,1.006,255,255,255
93,1.761,255,255,255
94,1.510,255,255,255
95,1.258,255,255,255
96,1.006,255,255,255
97,1.510,255,255,255
98,1.510,255,255,255
99,2.264,255,255,255
100,2.264,255,255,255
101,1.006,255,255,255
102,3.019,255,255,255
103,1.510,255,255,255
104,1.006,255,255,255
105,1.761,255,255,255
106,1.510,255,255,255
107,2.264,255,255,255
108,2.013,255,255,255
109,4.529,255,255,255
110,1.761,255,255,255
111,1.006,255,255,255
112,1.258,255,255,255
113,1.510,255,255,255
114,1.006,255,255,255
115,1.258,255,255,255
116,1.006,255,255,255
117,1.006,255,255,255
118,4.529,255,255,255
119,2.264,255,255,255
120,1.258,255,255,255
121,1.761,255,255,255
122,2.264,255,255,255
123,1.006,255,255,255
124,1.510,255,255,255
125,2.013,255,255,255
