 ,Area,Mean,Min,Max
1,7.296,255,255,255
2,6.038,255,255,255
3,10.567,255,255,255
4,1.761,255,255,255
5,1.006,255,255,255
6,1.006,255,255,255
7,1.006,255,255,255
8,6.038,255,255,255
9,9.812,255,255,255
10,2.768,255,255,255
11,1.006,255,255,255
12,2.264,255,255,255
13,5.284,255,255,255
14,13.335,255,255,255
15,1.258,255,255,255
16,4.277,255,255,255
17,1.510,255,255,255
18,5.535,255,255,255
19,1.006,255,255,255
20,1.258,255,255,255
21,1.761,255,255,255
22,1.006,255,255,255
23,4.026,255,255,255
24,4.026,255,255,255
25,1.258,255,255,255
26,3.522,255,255,255
27,1.510,255,255,255
28,1.006,255,255,255
29,2.013,255,255,255
30,2.264,255,255,255
31,1.006,255,255,255
32,3.019,255,255,255
33,3.019,255,255,255
34,1.761,255,255,255
35,1.510,255,255,255
36,1.006,255,255,255
37,1.006,255,255,255
38,1.006,255,255,255
39,1.006,255,255,255
40,1.258,255,255,255
41,2.013,255,255,255
42,2.013,255,255,255
43,1.006,255,255,255
44,2.013,255,255,255
45,1.761,255,255,255
46,1.510,255,255,255
47,1.761,255,255,255
48,1.006,255,255,255
49,1.258,255,255,255
50,1.258,255,255,255
51,2.013,255,255,255
52,1.510,255,255,255
53,1.006,255,255,255
54,1.258,255,255,255
55,1.006,255,255,255
56,1.006,255,255,255
57,1.006,255,255,255
58,1.006,255,255,255
59,1.006,255,255,255
60,1.006,255,255,255
61,1.006,255,255,255
62,1.258,255,255,255
63,4.780,255,255,255
64,3.019,255,255,255
65,2.264,255,255,255
66,16.606,255,255,255
67,1.761,255,255,255
68,3.522,255,255,255
69,1.006,255,255,255
70,1.761,255,255,255
71,2.013,255,255,255
72,1.006,255,255,255
73,1.006,255,255,255
74,2.516,255,255,255
75,1.258,255,255,255
76,1.510,255,255,255
77,2.264,255,255,255
78,1.006,255,255,255
79,1.761,255,255,255
80,1.510,255,255,255
81,2.516,255,255,255
82,2.013,255,255,255
83,3.271,255,255,255
84,2.768,255,255,255
85,1.510,255,255,255
86,1.510,255,255,255
87,1.258,255,255,255
88,1.006,255,255,255
89,1.006,255,255,255
90,1.258,255,255,255
91,1.258,255,255,255
92,1.006,255,255,255
93,1.006,255,255,255
94,2.768,255,255,255
95,1.006,255,255,255
96,1.006,255,255,255
97,1.258,255,255,255
98,1.761,255,255,255
99,1.510,255,255,255
100,1.510,255,255,255
101,3.019,255,255,255
102,1.006,255,255,255
103,1.510,255,255,255
104,1.761,255,255,255
105,1.510,255,255,255
106,2.013,255,255,255
107,3.019,255,255,255
108,1.006,255,255,255
109,1.006,255,255,255
110,1.258,255,255,255
111,3.774,255,255,255
112,1.006,255,255,255
113,1.006,255,255,255
114,1.258,255,255,255
115,2.013,255,255,255
116,2.516,255,255,255
117,1.510,255,255,255
118,2.768,255,255,255
119,4.026,255,255,255
120,1.258,255,255,255
121,1.258,255,255,255
122,8.303,255,255,255
123,2.013,255,255,255
124,1.006,255,255,255
125,1.761,255,255,255
126,2.516,255,255,255
127,1.006,255,255,255
128,1.006,255,255,255
129,3.019,255,255,255
130,2.013,255,255,255
131,1.510,255,255,255
132,4.529,255,255,255
133,1.258,255,255,255
134,1.006,255,255,255
135,1.258,255,255,255
136,6.793,255,255,255
137,2.013,255,255,255
138,1.761,255,255,255
139,3.271,255,255,255
140,2.013,255,255,255
141,1.258,255,255,255
142,1.510,255,255,255
143,1.258,255,255,255
144,2.768,255,255,255
145,2.516,255,255,255
146,1.761,255,255,255
147,1.510,255,255,255
148,1.510,255,255,255
149,2.516,255,255,255
150,1.510,255,255,255
151,3.522,255,255,255
152,2.013,255,255,255
153,1.006,255,255,255
154,4.026,255,255,255
155,1.258,255,255,255
156,5.032,255,255,255
157,2.516,255,255,255
158,2.516,255,255,255
159,1.510,255,255,255
160,1.006,255,255,255
161,3.774,255,255,255
162,1.006,255,255,255
163,1.510,255,255,255
164,1.006,255,255,255
165,1.006,255,255,255
166,1.258,255,255,255
167,1.006,255,255,255
168,2.768,255,255,255
169,1.006,255,255,255
170,1.258,255,255,255
171,1.006,255,255,255
172,17.864,255,255,255
173,1.006,255,255,255
174,1.006,255,255,255
175,1.258,255,255,255
176,1.761,255,255,255
177,5.284,255,255,255
178,3.522,255,255,255
179,4.026,255,255,255
180,1.510,255,255,255
181,1.510,255,255,255
182,1.006,255,255,255
183,1.510,255,255,255
184,1.006,255,255,255
185,1.258,255,255,255
186,1.258,255,255,255
187,1.006,255,255,255
188,1.006,255,255,255
189,1.258,255,255,255
190,2.768,255,255,255
191,1.006,255,255,255
192,1.006,255,255,255
193,1.258,255,255,255
194,2.013,255,255,255
195,2.516,255,255,255
196,1.006,255,255,255
197,1.761,255,255,255
198,2.013,255,255,255
199,1.761,255,255,255
200,1.510,255,255,255
201,3.522,255,255,255
202,8.806,255,255,255
203,1.006,255,255,255
204,1.761,255,255,255
205,1.258,255,255,255
206,1.258,255,255,255
207,1.006,255,255,255
208,1.258,255,255,255
209,2.516,255,255,255
210,8.806,255,255,255
211,2.516,255,255,255
212,4.529,255,255,255
213,1.258,255,255,255
214,1.006,255,255,255
215,1.006,255,255,255
216,1.006,255,255,255
217,2.768,255,255,255
218,7.045,255,255,255
219,2.516,255,255,255
220,1.510,255,255,255
221,2.516,255,255,255
222,1.510,255,255,255
223,1.258,255,255,255
224,1.258,255,255,255
225,4.277,255,255,255
226,1.006,255,255,255
227,1.006,255,255,255
228,2.013,255,255,255
229,2.516,255,255,255
230,1.006,255,255,255
231,5.032,255,255,255
232,1.761,255,255,255
233,1.510,255,255,255
234,11.322,255,255,255
235,2.516,255,255,255
236,2.516,255,255,255
237,1.510,255,255,255
238,2.516,255,255,255
239,1.006,255,255,255
240,1.006,255,255,255
241,1.006,255,255,255
242,1.510,255,255,255
243,2.516,255,255,255
244,1.006,255,255,255
245,1.258,255,255,255
246,3.019,255,255,255
247,1.006,255,255,255
248,1.510,255,255,255
249,2.768,255,255,255
250,1.258,255,255,255
251,1.006,255,255,255
252,5.535,255,255,255
253,6.542,255,255,255
254,2.013,255,255,255
255,3.019,255,255,255
256,2.264,255,255,255
257,3.019,255,255,255
258,2.516,255,255,255
259,2.768,255,255,255
260,3.522,255,255,255
261,1.006,255,255,255
262,2.013,255,255,255
263,1.510,255,255,255
264,2.013,255,255,255
265,1.258,255,255,255
266,1.006,255,255,255
267,1.006,255,255,255
268,1.761,255,255,255
269,2.768,255,255,255
270,1.510,255,255,255
271,6.038,255,255,255
272,1.258,255,255,255
273,1.258,255,255,255
274,2.516,255,255,255
275,1.006,255,255,255
276,2.013,255,255,255
277,15.348,255,255,255
278,1.006,255,255,255
279,5.787,255,255,255
280,1.761,255,255,255
281,1.006,255,255,255
282,1.258,255,255,255
283,3.522,255,255,255
284,2.264,255,255,255
285,1.510,255,255,255
286,1.258,255,255,255
287,1.006,255,255,255
288,2.768,255,255,255
289,1.761,255,255,255
290,1.006,255,255,255
291,8.554,255,255,255
292,3.019,255,255,255
293,4.026,255,255,255
294,1.258,255,255,255
295,5.535,255,255,255
296,2.264,255,255,255
297,4.026,255,255,255
298,7.548,255,255,255
299,9.058,255,255,255
