Slice,Count,Total Area,Average Size,%Area,Mean
H20.33.001-A02-NEUN_Layer5-6_analysis_30pct.tif_red,8769,81237.013,9.264,1.362,255
H20.33.001-A02-NEUN_Layer5-6_analysis_30pct.tif_orange,4341,40368.415,9.299,0.677,255
H20.33.001-A02-NEUN_Layer5-6_analysis_30pct.tif_yellow,2404,18929.472,7.874,0.317,255
H20.33.013-A01-NEUN_Layer5-6_analysis_30pct.tif_red,189,1109.813,5.872,0.049,255
H20.33.013-A01-NEUN_Layer5-6_analysis_30pct.tif_orange,2149,18547.793,8.631,0.815,255
H20.33.013-A01-NEUN_Layer5-6_analysis_30pct.tif_yellow,4639,38198.606,8.234,1.679,255
H20.33.043-A2-NEUN_Layer5-6_analysis_30pct.tif_red,6708,55917.372,8.336,1.006,255
H20.33.043-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,8536,69467.609,8.138,1.250,255
H20.33.043-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,8295,59352.233,7.155,1.068,255
H21.33.006-A1-NEUN_Layer5-6_analysis_30pct.tif_red,12755,139484.967,10.936,2.831,255
H21.33.006-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,3092,25330.208,8.192,0.514,255
H21.33.006-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,1473,9952.339,6.757,0.202,255
H21.33.014-A2-NEUN_Layer5-6_analysis_30pct.tif_red,6450,51114.053,7.925,1.470,255
H21.33.014-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,1748,12263.045,7.015,0.353,255
H21.33.014-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,944,5831.865,6.178,0.168,255
H21.33.015-A1-NEUN_Layer5-6_analysis_30pct.tif_red,25366,228508.284,9.008,3.427,255
H21.33.015-A1-NEUN_Layer5-6_analysis_30pct.tif_orange,2690,12643.718,4.700,0.190,255
H21.33.015-A1-NEUN_Layer5-6_analysis_30pct.tif_yellow,2608,14122.378,5.415,0.212,255
H21.33.023-A2-NEUN_Layer5-6_analysis_30pct.tif_red,625,3921.960,6.275,0.084,255
H21.33.023-A2-NEUN_Layer5-6_analysis_30pct.tif_orange,4536,41832.482,9.222,0.898,255
H21.33.023-A2-NEUN_Layer5-6_analysis_30pct.tif_yellow,10162,89269.383,8.785,1.917,255
