 ,Area,Mean,Min,Max
1,5.535,255,255,255
2,3.271,255,255,255
3,9.812,255,255,255
4,1.510,255,255,255
5,4.026,255,255,255
6,3.522,255,255,255
7,5.284,255,255,255
8,3.522,255,255,255
9,7.548,255,255,255
10,4.277,255,255,255
11,2.013,255,255,255
12,3.522,255,255,255
13,4.529,255,255,255
14,4.780,255,255,255
15,5.535,255,255,255
16,6.038,255,255,255
17,14.844,255,255,255
18,6.038,255,255,255
19,6.542,255,255,255
20,5.032,255,255,255
21,3.774,255,255,255
22,1.006,255,255,255
23,3.774,255,255,255
24,3.522,255,255,255
25,4.277,255,255,255
26,5.284,255,255,255
27,6.290,255,255,255
28,5.535,255,255,255
29,3.271,255,255,255
30,9.812,255,255,255
31,4.780,255,255,255
32,14.341,255,255,255
33,1.258,255,255,255
34,4.529,255,255,255
35,4.529,255,255,255
36,3.774,255,255,255
37,7.800,255,255,255
38,1.258,255,255,255
39,5.032,255,255,255
40,4.529,255,255,255
41,6.038,255,255,255
42,4.780,255,255,255
43,4.277,255,255,255
44,3.774,255,255,255
45,6.290,255,255,255
46,7.296,255,255,255
47,4.529,255,255,255
48,5.032,255,255,255
49,4.026,255,255,255
50,4.780,255,255,255
51,7.045,255,255,255
52,4.529,255,255,255
53,4.529,255,255,255
54,4.529,255,255,255
55,5.032,255,255,255
56,5.535,255,255,255
57,3.522,255,255,255
58,3.774,255,255,255
59,9.058,255,255,255
60,3.271,255,255,255
61,1.510,255,255,255
62,8.051,255,255,255
63,4.529,255,255,255
64,4.277,255,255,255
65,4.026,255,255,255
66,6.542,255,255,255
67,3.019,255,255,255
68,5.284,255,255,255
69,1.006,255,255,255
70,5.535,255,255,255
71,1.006,255,255,255
72,4.529,255,255,255
73,1.761,255,255,255
74,3.522,255,255,255
75,9.309,255,255,255
76,1.510,255,255,255
77,8.554,255,255,255
78,5.535,255,255,255
79,3.774,255,255,255
80,4.277,255,255,255
81,6.038,255,255,255
82,3.522,255,255,255
83,3.774,255,255,255
84,5.284,255,255,255
85,3.522,255,255,255
86,6.290,255,255,255
87,7.548,255,255,255
88,6.290,255,255,255
89,3.522,255,255,255
90,4.529,255,255,255
91,4.026,255,255,255
92,6.793,255,255,255
93,1.006,255,255,255
94,7.800,255,255,255
95,7.045,255,255,255
96,3.774,255,255,255
97,3.774,255,255,255
98,4.277,255,255,255
99,5.032,255,255,255
100,3.774,255,255,255
101,4.277,255,255,255
102,3.271,255,255,255
103,4.780,255,255,255
104,4.277,255,255,255
105,4.529,255,255,255
106,4.026,255,255,255
107,3.522,255,255,255
108,4.026,255,255,255
109,4.026,255,255,255
110,2.013,255,255,255
111,3.522,255,255,255
112,2.516,255,255,255
113,1.006,255,255,255
114,4.026,255,255,255
115,10.567,255,255,255
116,4.277,255,255,255
117,4.529,255,255,255
118,6.542,255,255,255
119,3.271,255,255,255
120,4.780,255,255,255
121,4.277,255,255,255
122,3.522,255,255,255
123,3.522,255,255,255
124,5.787,255,255,255
125,1.006,255,255,255
126,4.026,255,255,255
127,3.774,255,255,255
128,3.774,255,255,255
129,1.006,255,255,255
130,3.774,255,255,255
131,3.774,255,255,255
132,4.026,255,255,255
133,4.529,255,255,255
134,1.258,255,255,255
135,3.522,255,255,255
136,4.780,255,255,255
137,5.284,255,255,255
138,4.026,255,255,255
139,3.774,255,255,255
140,8.554,255,255,255
141,1.006,255,255,255
142,1.510,255,255,255
143,5.787,255,255,255
144,3.522,255,255,255
145,3.271,255,255,255
146,13.083,255,255,255
147,5.787,255,255,255
148,3.019,255,255,255
149,1.258,255,255,255
150,4.277,255,255,255
151,4.780,255,255,255
152,6.290,255,255,255
153,5.787,255,255,255
154,4.277,255,255,255
155,4.780,255,255,255
156,1.258,255,255,255
157,1.006,255,255,255
158,4.026,255,255,255
159,6.290,255,255,255
160,5.284,255,255,255
161,1.006,255,255,255
162,4.529,255,255,255
163,4.529,255,255,255
164,1.258,255,255,255
165,8.051,255,255,255
166,3.522,255,255,255
167,1.006,255,255,255
168,1.258,255,255,255
169,1.258,255,255,255
170,1.258,255,255,255
171,5.787,255,255,255
172,5.535,255,255,255
173,3.774,255,255,255
174,3.774,255,255,255
175,6.793,255,255,255
176,1.006,255,255,255
177,3.774,255,255,255
178,5.032,255,255,255
179,1.006,255,255,255
180,5.284,255,255,255
181,4.277,255,255,255
182,7.045,255,255,255
183,7.296,255,255,255
184,7.548,255,255,255
185,1.761,255,255,255
186,1.006,255,255,255
187,3.522,255,255,255
188,3.271,255,255,255
189,10.567,255,255,255
190,3.774,255,255,255
191,4.529,255,255,255
192,1.006,255,255,255
193,6.542,255,255,255
194,7.296,255,255,255
195,6.542,255,255,255
196,6.793,255,255,255
197,4.277,255,255,255
198,2.013,255,255,255
199,3.522,255,255,255
200,11.070,255,255,255
201,5.284,255,255,255
202,1.258,255,255,255
203,4.277,255,255,255
204,4.026,255,255,255
205,9.058,255,255,255
206,4.026,255,255,255
207,6.542,255,255,255
208,1.761,255,255,255
209,9.309,255,255,255
210,6.542,255,255,255
211,4.529,255,255,255
212,4.780,255,255,255
213,7.800,255,255,255
214,4.529,255,255,255
215,4.026,255,255,255
216,4.026,255,255,255
217,3.019,255,255,255
218,8.303,255,255,255
219,5.535,255,255,255
220,7.800,255,255,255
221,1.006,255,255,255
222,3.019,255,255,255
223,3.019,255,255,255
224,4.026,255,255,255
225,4.026,255,255,255
226,5.032,255,255,255
227,19.625,255,255,255
228,4.277,255,255,255
229,5.284,255,255,255
230,4.026,255,255,255
231,5.787,255,255,255
232,4.277,255,255,255
233,1.258,255,255,255
234,3.271,255,255,255
235,5.284,255,255,255
236,5.535,255,255,255
237,5.284,255,255,255
238,4.277,255,255,255
239,4.277,255,255,255
240,10.064,255,255,255
241,4.529,255,255,255
242,1.258,255,255,255
243,4.277,255,255,255
244,3.522,255,255,255
245,5.284,255,255,255
246,5.787,255,255,255
247,1.006,255,255,255
248,2.516,255,255,255
249,4.780,255,255,255
250,6.290,255,255,255
251,3.774,255,255,255
252,4.529,255,255,255
253,10.064,255,255,255
254,5.787,255,255,255
255,6.290,255,255,255
256,7.548,255,255,255
257,7.045,255,255,255
258,7.296,255,255,255
259,7.296,255,255,255
260,3.774,255,255,255
261,3.774,255,255,255
262,4.026,255,255,255
263,4.529,255,255,255
264,4.026,255,255,255
265,14.341,255,255,255
266,3.774,255,255,255
267,3.271,255,255,255
268,5.535,255,255,255
269,1.006,255,255,255
270,1.006,255,255,255
271,4.026,255,255,255
272,1.006,255,255,255
273,10.819,255,255,255
274,4.529,255,255,255
275,4.277,255,255,255
276,4.529,255,255,255
277,1.006,255,255,255
278,6.290,255,255,255
279,3.271,255,255,255
280,4.277,255,255,255
281,4.277,255,255,255
282,5.032,255,255,255
283,1.258,255,255,255
284,4.529,255,255,255
285,5.535,255,255,255
286,5.284,255,255,255
287,4.277,255,255,255
288,1.510,255,255,255
289,1.006,255,255,255
290,2.768,255,255,255
291,5.032,255,255,255
292,4.277,255,255,255
293,2.013,255,255,255
294,4.780,255,255,255
295,2.264,255,255,255
296,3.774,255,255,255
297,5.535,255,255,255
298,4.529,255,255,255
299,3.271,255,255,255
300,4.026,255,255,255
301,1.006,255,255,255
302,4.026,255,255,255
303,6.038,255,255,255
304,3.774,255,255,255
305,8.303,255,255,255
306,1.761,255,255,255
307,1.258,255,255,255
308,3.522,255,255,255
309,1.006,255,255,255
310,4.277,255,255,255
311,5.032,255,255,255
312,5.284,255,255,255
313,3.522,255,255,255
314,1.006,255,255,255
315,8.806,255,255,255
316,3.774,255,255,255
317,5.032,255,255,255
318,1.761,255,255,255
319,4.026,255,255,255
320,8.806,255,255,255
321,7.548,255,255,255
322,6.290,255,255,255
323,6.542,255,255,255
324,4.529,255,255,255
325,6.793,255,255,255
326,3.271,255,255,255
327,4.277,255,255,255
328,4.529,255,255,255
329,3.774,255,255,255
330,3.774,255,255,255
331,6.290,255,255,255
332,6.290,255,255,255
333,5.284,255,255,255
334,6.542,255,255,255
335,5.284,255,255,255
336,4.026,255,255,255
337,5.284,255,255,255
338,4.529,255,255,255
339,9.561,255,255,255
340,1.258,255,255,255
341,3.271,255,255,255
342,7.800,255,255,255
343,1.510,255,255,255
344,8.806,255,255,255
345,8.554,255,255,255
346,5.284,255,255,255
347,4.780,255,255,255
348,13.335,255,255,255
349,4.026,255,255,255
350,3.774,255,255,255
351,5.284,255,255,255
352,6.290,255,255,255
353,1.258,255,255,255
354,2.264,255,255,255
355,1.006,255,255,255
356,1.006,255,255,255
357,5.284,255,255,255
358,3.774,255,255,255
359,6.793,255,255,255
360,3.774,255,255,255
361,4.529,255,255,255
362,4.780,255,255,255
363,3.774,255,255,255
364,4.780,255,255,255
365,1.006,255,255,255
366,8.303,255,255,255
367,4.529,255,255,255
368,4.529,255,255,255
369,3.774,255,255,255
370,1.258,255,255,255
371,1.510,255,255,255
372,5.535,255,255,255
373,4.026,255,255,255
