 ,Area,Mean,Min,Max
1,8.303,255,255,255
2,5.284,255,255,255
3,5.535,255,255,255
4,9.058,255,255,255
5,7.045,255,255,255
6,4.780,255,255,255
7,7.045,255,255,255
8,1.510,255,255,255
9,7.045,255,255,255
10,3.774,255,255,255
11,4.529,255,255,255
12,6.290,255,255,255
13,5.535,255,255,255
14,7.296,255,255,255
15,4.277,255,255,255
16,3.774,255,255,255
17,5.284,255,255,255
18,5.032,255,255,255
19,8.554,255,255,255
20,6.038,255,255,255
21,5.032,255,255,255
22,9.058,255,255,255
23,6.038,255,255,255
24,9.058,255,255,255
25,8.554,255,255,255
26,6.542,255,255,255
27,8.554,255,255,255
28,11.070,255,255,255
29,4.277,255,255,255
30,13.083,255,255,255
31,4.529,255,255,255
32,6.038,255,255,255
33,8.554,255,255,255
34,5.284,255,255,255
35,6.290,255,255,255
36,4.529,255,255,255
37,9.058,255,255,255
38,9.058,255,255,255
39,5.032,255,255,255
40,5.284,255,255,255
41,6.038,255,255,255
42,4.529,255,255,255
43,9.561,255,255,255
44,3.774,255,255,255
45,3.522,255,255,255
46,6.290,255,255,255
47,5.032,255,255,255
48,3.774,255,255,255
49,7.548,255,255,255
50,5.787,255,255,255
51,5.535,255,255,255
52,3.522,255,255,255
53,6.793,255,255,255
54,5.284,255,255,255
55,7.296,255,255,255
56,9.309,255,255,255
57,8.806,255,255,255
58,9.309,255,255,255
59,4.026,255,255,255
60,5.032,255,255,255
61,5.032,255,255,255
62,6.038,255,255,255
63,11.574,255,255,255
64,6.038,255,255,255
65,4.277,255,255,255
66,5.284,255,255,255
67,6.793,255,255,255
68,4.529,255,255,255
69,7.800,255,255,255
70,8.303,255,255,255
71,5.787,255,255,255
72,12.832,255,255,255
73,7.296,255,255,255
74,4.026,255,255,255
75,7.045,255,255,255
76,5.284,255,255,255
77,6.038,255,255,255
78,8.051,255,255,255
79,4.529,255,255,255
80,4.780,255,255,255
81,7.045,255,255,255
82,5.787,255,255,255
83,1.510,255,255,255
84,8.303,255,255,255
85,4.026,255,255,255
86,4.529,255,255,255
87,4.529,255,255,255
88,4.780,255,255,255
89,4.529,255,255,255
90,4.026,255,255,255
91,4.780,255,255,255
92,4.529,255,255,255
93,4.529,255,255,255
94,4.780,255,255,255
95,6.038,255,255,255
96,3.522,255,255,255
97,4.529,255,255,255
98,7.548,255,255,255
99,6.290,255,255,255
100,5.032,255,255,255
101,5.032,255,255,255
102,3.522,255,255,255
103,9.812,255,255,255
104,5.032,255,255,255
105,4.780,255,255,255
106,9.812,255,255,255
107,4.529,255,255,255
108,6.038,255,255,255
109,6.290,255,255,255
110,3.774,255,255,255
111,4.780,255,255,255
112,3.522,255,255,255
113,4.529,255,255,255
114,6.290,255,255,255
115,6.290,255,255,255
116,6.290,255,255,255
117,5.284,255,255,255
118,5.284,255,255,255
119,6.542,255,255,255
120,5.032,255,255,255
121,9.561,255,255,255
122,8.303,255,255,255
123,4.277,255,255,255
124,5.032,255,255,255
125,10.819,255,255,255
126,6.542,255,255,255
127,6.038,255,255,255
128,3.522,255,255,255
129,7.296,255,255,255
130,5.535,255,255,255
131,4.529,255,255,255
132,7.800,255,255,255
133,4.026,255,255,255
134,7.548,255,255,255
135,5.284,255,255,255
136,4.277,255,255,255
137,3.271,255,255,255
138,4.277,255,255,255
139,4.780,255,255,255
140,5.787,255,255,255
141,6.290,255,255,255
142,5.535,255,255,255
143,4.529,255,255,255
144,10.567,255,255,255
145,5.535,255,255,255
146,4.529,255,255,255
147,6.038,255,255,255
148,11.574,255,255,255
149,5.535,255,255,255
150,5.032,255,255,255
151,6.038,255,255,255
152,3.522,255,255,255
153,4.529,255,255,255
154,8.806,255,255,255
155,4.026,255,255,255
156,5.284,255,255,255
157,3.522,255,255,255
158,4.026,255,255,255
159,4.529,255,255,255
160,5.032,255,255,255
161,3.774,255,255,255
162,6.038,255,255,255
163,4.277,255,255,255
164,5.787,255,255,255
165,1.258,255,255,255
166,8.554,255,255,255
167,6.542,255,255,255
168,3.774,255,255,255
169,6.038,255,255,255
170,5.535,255,255,255
171,3.019,255,255,255
172,9.309,255,255,255
173,4.529,255,255,255
174,8.303,255,255,255
175,5.535,255,255,255
176,3.774,255,255,255
177,5.284,255,255,255
178,4.277,255,255,255
179,3.774,255,255,255
180,8.554,255,255,255
181,7.045,255,255,255
182,5.284,255,255,255
183,3.271,255,255,255
184,4.277,255,255,255
185,3.522,255,255,255
186,5.032,255,255,255
187,4.780,255,255,255
188,4.780,255,255,255
189,4.780,255,255,255
