 ,Area,Mean,Min,Max
1,4.780,255,255,255
2,3.522,255,255,255
3,3.271,255,255,255
4,5.032,255,255,255
5,4.277,255,255,255
6,3.522,255,255,255
7,4.026,255,255,255
8,7.800,255,255,255
9,4.026,255,255,255
10,5.284,255,255,255
11,11.322,255,255,255
12,5.032,255,255,255
13,5.032,255,255,255
14,5.787,255,255,255
15,5.787,255,255,255
16,5.787,255,255,255
17,7.296,255,255,255
18,5.032,255,255,255
19,4.780,255,255,255
20,4.277,255,255,255
21,4.780,255,255,255
22,6.038,255,255,255
23,3.522,255,255,255
24,3.522,255,255,255
25,4.780,255,255,255
26,3.271,255,255,255
27,3.271,255,255,255
28,4.529,255,255,255
29,3.019,255,255,255
30,4.780,255,255,255
31,3.774,255,255,255
32,4.529,255,255,255
33,4.277,255,255,255
34,3.019,255,255,255
35,3.774,255,255,255
36,6.290,255,255,255
37,6.038,255,255,255
38,4.026,255,255,255
39,5.284,255,255,255
40,4.026,255,255,255
41,4.529,255,255,255
42,4.026,255,255,255
43,8.554,255,255,255
44,4.529,255,255,255
45,3.522,255,255,255
46,3.522,255,255,255
47,4.026,255,255,255
48,4.277,255,255,255
49,3.271,255,255,255
50,3.271,255,255,255
51,6.542,255,255,255
52,5.787,255,255,255
53,6.038,255,255,255
54,4.780,255,255,255
55,3.522,255,255,255
56,4.529,255,255,255
57,3.019,255,255,255
58,8.303,255,255,255
59,3.774,255,255,255
60,6.038,255,255,255
61,7.548,255,255,255
62,8.554,255,255,255
63,4.780,255,255,255
64,4.026,255,255,255
65,4.529,255,255,255
66,9.058,255,255,255
67,5.535,255,255,255
68,3.774,255,255,255
69,5.535,255,255,255
70,4.529,255,255,255
71,4.529,255,255,255
72,6.793,255,255,255
73,11.322,255,255,255
74,4.277,255,255,255
75,4.026,255,255,255
76,4.026,255,255,255
77,3.271,255,255,255
78,4.780,255,255,255
79,3.774,255,255,255
80,2.768,255,255,255
81,9.812,255,255,255
82,6.290,255,255,255
83,4.780,255,255,255
84,5.032,255,255,255
85,3.774,255,255,255
86,3.271,255,255,255
87,4.780,255,255,255
88,6.290,255,255,255
89,3.271,255,255,255
90,3.774,255,255,255
91,3.522,255,255,255
92,6.290,255,255,255
93,7.548,255,255,255
94,7.800,255,255,255
95,4.529,255,255,255
96,6.290,255,255,255
97,5.284,255,255,255
98,3.019,255,255,255
99,3.271,255,255,255
100,4.026,255,255,255
101,4.277,255,255,255
102,3.774,255,255,255
103,4.780,255,255,255
104,5.284,255,255,255
105,4.026,255,255,255
106,4.277,255,255,255
107,6.038,255,255,255
108,5.284,255,255,255
109,5.535,255,255,255
110,4.277,255,255,255
111,3.774,255,255,255
112,5.787,255,255,255
113,3.522,255,255,255
114,3.271,255,255,255
115,3.522,255,255,255
116,3.774,255,255,255
117,4.277,255,255,255
118,3.522,255,255,255
119,4.026,255,255,255
120,7.548,255,255,255
121,6.038,255,255,255
122,3.522,255,255,255
123,3.271,255,255,255
124,6.038,255,255,255
125,7.045,255,255,255
126,4.780,255,255,255
127,3.522,255,255,255
128,5.535,255,255,255
129,7.800,255,255,255
130,5.787,255,255,255
131,2.768,255,255,255
132,3.522,255,255,255
133,3.774,255,255,255
134,4.277,255,255,255
135,3.271,255,255,255
136,6.290,255,255,255
137,5.032,255,255,255
138,7.800,255,255,255
139,3.019,255,255,255
140,3.774,255,255,255
141,4.529,255,255,255
142,4.780,255,255,255
143,4.277,255,255,255
144,3.522,255,255,255
145,9.309,255,255,255
146,7.800,255,255,255
147,5.284,255,255,255
148,5.535,255,255,255
149,3.522,255,255,255
150,3.522,255,255,255
151,6.793,255,255,255
152,5.787,255,255,255
153,5.284,255,255,255
154,6.542,255,255,255
155,4.277,255,255,255
156,4.026,255,255,255
157,5.032,255,255,255
158,5.032,255,255,255
159,5.787,255,255,255
