 ,Area,Mean,Min,Max
1,32,255,255,255
2,39,255,255,255
3,37,255,255,255
4,32,255,255,255
5,37,255,255,255
6,31,255,255,255
7,28,255,255,255
8,37,255,255,255
9,40,255,255,255
10,33,255,255,255
11,35,255,255,255
12,84,255,255,255
13,32,255,255,255
14,43,255,255,255
15,20,255,255,255
16,29,255,255,255
17,31,255,255,255
18,43,255,255,255
19,59,255,255,255
20,25,255,255,255
21,31,255,255,255
22,33,255,255,255
23,41,255,255,255
24,34,255,255,255
25,28,255,255,255
26,22,255,255,255
27,32,255,255,255
28,27,255,255,255
29,35,255,255,255
30,40,255,255,255
31,42,255,255,255
32,46,255,255,255
33,35,255,255,255
34,35,255,255,255
35,36,255,255,255
36,45,255,255,255
37,35,255,255,255
38,36,255,255,255
39,38,255,255,255
40,59,255,255,255
41,29,255,255,255
42,52,255,255,255
43,39,255,255,255
44,42,255,255,255
45,23,255,255,255
46,84,255,255,255
47,86,255,255,255
48,30,255,255,255
49,33,255,255,255
50,25,255,255,255
51,42,255,255,255
52,44,255,255,255
53,36,255,255,255
54,36,255,255,255
55,20,255,255,255
56,22,255,255,255
57,32,255,255,255
58,23,255,255,255
59,29,255,255,255
60,26,255,255,255
61,20,255,255,255
62,34,255,255,255
63,39,255,255,255
64,21,255,255,255
65,73,255,255,255
66,30,255,255,255
67,30,255,255,255
68,38,255,255,255
69,21,255,255,255
70,69,255,255,255
71,32,255,255,255
72,50,255,255,255
73,41,255,255,255
74,45,255,255,255
75,32,255,255,255
76,26,255,255,255
77,26,255,255,255
78,28,255,255,255
79,41,255,255,255
80,45,255,255,255
81,40,255,255,255
82,29,255,255,255
83,32,255,255,255
84,56,255,255,255
85,24,255,255,255
86,30,255,255,255
87,27,255,255,255
88,24,255,255,255
89,31,255,255,255
90,34,255,255,255
91,50,255,255,255
92,23,255,255,255
93,81,255,255,255
94,37,255,255,255
95,35,255,255,255
96,25,255,255,255
97,35,255,255,255
98,25,255,255,255
99,23,255,255,255
100,67,255,255,255
101,36,255,255,255
102,32,255,255,255
103,56,255,255,255
104,23,255,255,255
105,23,255,255,255
106,26,255,255,255
107,42,255,255,255
108,33,255,255,255
109,31,255,255,255
110,41,255,255,255
111,36,255,255,255
112,35,255,255,255
113,41,255,255,255
114,31,255,255,255
115,58,255,255,255
116,23,255,255,255
117,24,255,255,255
118,37,255,255,255
119,61,255,255,255
120,30,255,255,255
121,43,255,255,255
122,62,255,255,255
123,70,255,255,255
124,38,255,255,255
125,43,255,255,255
126,21,255,255,255
127,63,255,255,255
128,89,255,255,255
129,34,255,255,255
130,57,255,255,255
131,21,255,255,255
132,21,255,255,255
133,29,255,255,255
134,64,255,255,255
135,24,255,255,255
136,62,255,255,255
137,55,255,255,255
138,30,255,255,255
139,62,255,255,255
140,30,255,255,255
141,20,255,255,255
142,31,255,255,255
143,22,255,255,255
144,38,255,255,255
145,80,255,255,255
146,99,255,255,255
147,39,255,255,255
148,29,255,255,255
149,37,255,255,255
150,58,255,255,255
151,24,255,255,255
152,21,255,255,255
153,26,255,255,255
154,29,255,255,255
155,48,255,255,255
156,25,255,255,255
157,40,255,255,255
158,61,255,255,255
159,41,255,255,255
160,24,255,255,255
161,26,255,255,255
162,73,255,255,255
163,29,255,255,255
164,30,255,255,255
165,24,255,255,255
166,42,255,255,255
167,64,255,255,255
168,26,255,255,255
169,30,255,255,255
170,53,255,255,255
171,33,255,255,255
172,95,255,255,255
173,21,255,255,255
174,29,255,255,255
175,25,255,255,255
