 ,Area,Mean,Min,Max
1,32,255,255,255
2,16,255,255,255
3,39,255,255,255
4,37,255,255,255
5,36,255,255,255
6,37,255,255,255
7,75,255,255,255
8,31,255,255,255
9,174,255,255,255
10,37,255,255,255
11,10,255,255,255
12,33,255,255,255
13,52,255,255,255
14,35,255,255,255
15,64,255,255,255
16,210,255,255,255
17,32,255,255,255
18,43,255,255,255
19,27,255,255,255
20,12,255,255,255
21,72,255,255,255
22,46,255,255,255
23,43,255,255,255
24,16,255,255,255
25,44,255,255,255
26,84,255,255,255
27,165,255,255,255
28,86,255,255,255
29,44,255,255,255
30,145,255,255,255
31,37,255,255,255
32,37,255,255,255
33,66,255,255,255
34,31,255,255,255
35,40,255,255,255
36,17,255,255,255
37,49,255,255,255
38,129,255,255,255
39,70,255,255,255
40,21,255,255,255
41,41,255,255,255
42,105,255,255,255
43,91,255,255,255
44,34,255,255,255
45,13,255,255,255
46,64,255,255,255
47,93,255,255,255
48,25,255,255,255
49,14,255,255,255
50,13,255,255,255
51,85,255,255,255
52,73,255,255,255
53,19,255,255,255
54,35,255,255,255
55,19,255,255,255
56,54,255,255,255
57,45,255,255,255
58,16,255,255,255
59,210,255,255,255
60,42,255,255,255
61,36,255,255,255
62,54,255,255,255
63,39,255,255,255
64,46,255,255,255
65,35,255,255,255
66,35,255,255,255
67,36,255,255,255
68,210,255,255,255
69,34,255,255,255
70,37,255,255,255
71,94,255,255,255
72,24,255,255,255
73,45,255,255,255
74,85,255,255,255
75,57,255,255,255
76,136,255,255,255
77,215,255,255,255
78,67,255,255,255
79,44,255,255,255
80,124,255,255,255
81,75,255,255,255
82,55,255,255,255
83,89,255,255,255
84,483,255,255,255
85,183,255,255,255
86,39,255,255,255
87,50,255,255,255
88,5,255,255,255
89,105,255,255,255
90,28,255,255,255
91,17,255,255,255
92,146,255,255,255
93,48,255,255,255
94,84,255,255,255
95,42,255,255,255
96,86,255,255,255
97,19,255,255,255
98,86,255,255,255
99,44,255,255,255
100,30,255,255,255
101,33,255,255,255
102,190,255,255,255
103,42,255,255,255
104,13,255,255,255
105,83,255,255,255
106,36,255,255,255
107,91,255,255,255
108,36,255,255,255
109,99,255,255,255
110,145,255,255,255
111,6,255,255,255
112,31,255,255,255
113,22,255,255,255
114,56,255,255,255
115,46,255,255,255
116,18,255,255,255
117,20,255,255,255
118,15,255,255,255
119,29,255,255,255
120,42,255,255,255
121,49,255,255,255
122,18,255,255,255
123,7,255,255,255
124,7,255,255,255
125,26,255,255,255
126,43,255,255,255
127,233,255,255,255
128,35,255,255,255
129,49,255,255,255
130,51,255,255,255
131,121,255,255,255
132,45,255,255,255
133,14,255,255,255
134,34,255,255,255
135,50,255,255,255
136,34,255,255,255
137,39,255,255,255
138,52,255,255,255
139,39,255,255,255
140,41,255,255,255
141,21,255,255,255
142,17,255,255,255
143,75,255,255,255
144,16,255,255,255
145,37,255,255,255
146,30,255,255,255
147,50,255,255,255
148,47,255,255,255
149,52,255,255,255
150,38,255,255,255
151,69,255,255,255
152,45,255,255,255
153,69,255,255,255
154,54,255,255,255
155,37,255,255,255
156,10,255,255,255
157,16,255,255,255
158,101,255,255,255
159,56,255,255,255
160,42,255,255,255
161,12,255,255,255
162,12,255,255,255
163,28,255,255,255
164,7,255,255,255
165,22,255,255,255
166,45,255,255,255
167,57,255,255,255
168,110,255,255,255
169,41,255,255,255
170,50,255,255,255
171,40,255,255,255
172,31,255,255,255
173,24,255,255,255
174,97,255,255,255
175,106,255,255,255
176,12,255,255,255
177,89,255,255,255
178,16,255,255,255
179,39,255,255,255
180,84,255,255,255
181,35,255,255,255
182,45,255,255,255
183,77,255,255,255
184,45,255,255,255
185,42,255,255,255
186,46,255,255,255
187,7,255,255,255
188,50,255,255,255
189,42,255,255,255
190,5,255,255,255
191,43,255,255,255
192,49,255,255,255
193,35,255,255,255
194,87,255,255,255
195,28,255,255,255
196,41,255,255,255
197,48,255,255,255
198,113,255,255,255
199,40,255,255,255
200,52,255,255,255
201,30,255,255,255
202,52,255,255,255
203,7,255,255,255
204,98,255,255,255
205,90,255,255,255
206,35,255,255,255
207,36,255,255,255
208,75,255,255,255
209,98,255,255,255
210,24,255,255,255
211,51,255,255,255
212,7,255,255,255
213,152,255,255,255
214,30,255,255,255
215,55,255,255,255
216,15,255,255,255
217,60,255,255,255
218,24,255,255,255
219,14,255,255,255
220,31,255,255,255
221,118,255,255,255
222,46,255,255,255
223,20,255,255,255
224,57,255,255,255
225,7,255,255,255
226,29,255,255,255
227,62,255,255,255
228,35,255,255,255
229,23,255,255,255
230,25,255,255,255
231,50,255,255,255
232,9,255,255,255
233,37,255,255,255
234,14,255,255,255
235,14,255,255,255
236,15,255,255,255
237,35,255,255,255
238,25,255,255,255
239,11,255,255,255
240,24,255,255,255
241,39,255,255,255
242,95,255,255,255
243,47,255,255,255
244,35,255,255,255
245,47,255,255,255
246,33,255,255,255
247,27,255,255,255
248,177,255,255,255
249,12,255,255,255
250,107,255,255,255
251,49,255,255,255
252,99,255,255,255
253,67,255,255,255
254,20,255,255,255
255,36,255,255,255
256,32,255,255,255
257,27,255,255,255
258,59,255,255,255
259,198,255,255,255
260,56,255,255,255
261,64,255,255,255
262,7,255,255,255
263,23,255,255,255
264,34,255,255,255
265,26,255,255,255
266,18,255,255,255
267,51,255,255,255
268,33,255,255,255
269,31,255,255,255
270,36,255,255,255
271,124,255,255,255
272,41,255,255,255
273,75,255,255,255
274,97,255,255,255
275,57,255,255,255
276,11,255,255,255
277,54,255,255,255
278,35,255,255,255
279,41,255,255,255
280,31,255,255,255
281,156,255,255,255
282,81,255,255,255
283,94,255,255,255
284,12,255,255,255
285,41,255,255,255
286,52,255,255,255
287,26,255,255,255
288,76,255,255,255
289,40,255,255,255
290,79,255,255,255
291,86,255,255,255
292,39,255,255,255
293,24,255,255,255
294,24,255,255,255
295,137,255,255,255
296,155,255,255,255
297,44,255,255,255
298,43,255,255,255
299,44,255,255,255
300,162,255,255,255
301,10,255,255,255
302,137,255,255,255
303,22,255,255,255
304,43,255,255,255
305,62,255,255,255
306,70,255,255,255
307,44,255,255,255
308,40,255,255,255
309,79,255,255,255
310,166,255,255,255
311,55,255,255,255
312,98,255,255,255
313,264,255,255,255
314,34,255,255,255
315,61,255,255,255
316,49,255,255,255
317,211,255,255,255
318,15,255,255,255
319,21,255,255,255
320,29,255,255,255
321,47,255,255,255
322,142,255,255,255
323,48,255,255,255
324,343,255,255,255
325,38,255,255,255
326,102,255,255,255
327,6,255,255,255
328,16,255,255,255
329,55,255,255,255
330,6,255,255,255
331,8,255,255,255
332,240,255,255,255
333,30,255,255,255
334,6,255,255,255
335,20,255,255,255
336,31,255,255,255
337,101,255,255,255
338,38,255,255,255
339,12,255,255,255
340,147,255,255,255
341,38,255,255,255
342,30,255,255,255
343,320,255,255,255
344,244,255,255,255
345,48,255,255,255
346,40,255,255,255
347,42,255,255,255
348,21,255,255,255
349,82,255,255,255
350,66,255,255,255
351,106,255,255,255
352,20,255,255,255
353,45,255,255,255
354,58,255,255,255
355,19,255,255,255
356,9,255,255,255
357,61,255,255,255
358,21,255,255,255
359,24,255,255,255
360,80,255,255,255
361,63,255,255,255
362,62,255,255,255
363,5,255,255,255
364,127,255,255,255
365,9,255,255,255
366,8,255,255,255
367,57,255,255,255
368,25,255,255,255
369,116,255,255,255
370,51,255,255,255
371,216,255,255,255
372,41,255,255,255
373,24,255,255,255
374,51,255,255,255
375,28,255,255,255
376,29,255,255,255
377,5,255,255,255
378,37,255,255,255
379,73,255,255,255
380,29,255,255,255
381,105,255,255,255
382,31,255,255,255
383,17,255,255,255
384,30,255,255,255
385,20,255,255,255
386,39,255,255,255
387,34,255,255,255
388,14,255,255,255
389,57,255,255,255
390,87,255,255,255
391,8,255,255,255
392,9,255,255,255
393,5,255,255,255
394,42,255,255,255
395,176,255,255,255
396,64,255,255,255
397,50,255,255,255
398,97,255,255,255
399,26,255,255,255
400,36,255,255,255
401,57,255,255,255
402,69,255,255,255
403,47,255,255,255
404,53,255,255,255
405,65,255,255,255
406,74,255,255,255
407,19,255,255,255
408,89,255,255,255
409,47,255,255,255
410,14,255,255,255
