 ,Area,Mean,IntDen,RawIntDen
1,31,255,7905,7905
2,33,255,8415,8415
3,18,255,4590,4590
4,54,255,13770,13770
5,15,255,3825,3825
6,192,255,48960,48960
7,37,255,9435,9435
8,31,255,7905,7905
9,49,255,12495,12495
10,19,255,4845,4845
11,201,255,51255,51255
12,19,255,4845,4845
13,24,255,6120,6120
14,263,255,67065,67065
15,72,255,18360,18360
16,112,255,28560,28560
17,53,255,13515,13515
18,68,255,17340,17340
19,37,255,9435,9435
20,23,255,5865,5865
21,24,255,6120,6120
22,23,255,5865,5865
23,15,255,3825,3825
24,31,255,7905,7905
25,16,255,4080,4080
26,18,255,4590,4590
27,37,255,9435,9435
28,299,255,76245,76245
29,31,255,7905,7905
30,24,255,6120,6120
31,22,255,5610,5610
32,29,255,7395,7395
33,68,255,17340,17340
34,15,255,3825,3825
35,28,255,7140,7140
36,70,255,17850,17850
37,17,255,4335,4335
38,48,255,12240,12240
39,15,255,3825,3825
40,84,255,21420,21420
