 ,Area,Mean,Min,Max
1,43,255,255,255
2,43,255,255,255
3,27,255,255,255
4,6,255,255,255
5,14,255,255,255
6,38,255,255,255
7,70,255,255,255
8,374,255,255,255
9,19,255,255,255
10,504,255,255,255
11,176,255,255,255
12,55,255,255,255
13,8,255,255,255
14,4,255,255,255
15,74,255,255,255
16,94,255,255,255
17,255,255,255,255
18,79,255,255,255
19,6,255,255,255
20,62,255,255,255
21,215,255,255,255
22,249,255,255,255
23,4,255,255,255
24,259,255,255,255
25,83,255,255,255
26,130,255,255,255
27,35,255,255,255
28,7,255,255,255
29,15,255,255,255
30,23,255,255,255
31,351,255,255,255
32,62,255,255,255
33,261,255,255,255
34,9,255,255,255
35,39,255,255,255
36,95,255,255,255
37,18,255,255,255
38,193,255,255,255
39,7,255,255,255
40,54,255,255,255
41,12,255,255,255
42,199,255,255,255
43,480,255,255,255
44,74,255,255,255
45,37,255,255,255
46,9,255,255,255
47,81,255,255,255
48,4,255,255,255
49,116,255,255,255
50,93,255,255,255
51,42,255,255,255
52,105,255,255,255
53,17,255,255,255
54,12,255,255,255
55,103,255,255,255
56,82,255,255,255
57,24,255,255,255
58,60,255,255,255
59,6,255,255,255
60,5,255,255,255
61,10,255,255,255
62,105,255,255,255
63,9,255,255,255
64,124,255,255,255
65,43,255,255,255
66,46,255,255,255
67,83,255,255,255
68,243,255,255,255
69,110,255,255,255
70,82,255,255,255
71,191,255,255,255
72,16,255,255,255
73,163,255,255,255
74,121,255,255,255
75,5,255,255,255
76,138,255,255,255
77,169,255,255,255
78,92,255,255,255
79,44,255,255,255
80,701,255,255,255
81,7,255,255,255
82,50,255,255,255
83,149,255,255,255
84,9,255,255,255
85,180,255,255,255
86,4,255,255,255
87,68,255,255,255
88,239,255,255,255
89,106,255,255,255
90,12,255,255,255
91,465,255,255,255
92,84,255,255,255
93,61,255,255,255
94,501,255,255,255
95,7,255,255,255
96,62,255,255,255
97,5,255,255,255
98,211,255,255,255
