 ,Area,Mean,Min,Max
1,28,255,255,255
2,39,255,255,255
3,35,255,255,255
4,35,255,255,255
5,66,255,255,255
6,36,255,255,255
7,23,255,255,255
8,41,255,255,255
9,72,255,255,255
10,38,255,255,255
11,48,255,255,255
12,39,255,255,255
13,32,255,255,255
14,75,255,255,255
15,35,255,255,255
16,32,255,255,255
17,34,255,255,255
18,30,255,255,255
19,37,255,255,255
20,27,255,255,255
21,35,255,255,255
22,33,255,255,255
23,40,255,255,255
24,51,255,255,255
25,28,255,255,255
26,38,255,255,255
27,34,255,255,255
28,32,255,255,255
29,26,255,255,255
30,45,255,255,255
31,24,255,255,255
32,42,255,255,255
33,43,255,255,255
34,69,255,255,255
35,28,255,255,255
36,51,255,255,255
37,75,255,255,255
38,32,255,255,255
39,255,255,255,255
40,103,255,255,255
41,28,255,255,255
42,167,255,255,255
43,199,255,255,255
44,54,255,255,255
45,43,255,255,255
46,35,255,255,255
47,71,255,255,255
48,41,255,255,255
49,20,255,255,255
50,31,255,255,255
51,41,255,255,255
52,69,255,255,255
53,28,255,255,255
54,22,255,255,255
55,31,255,255,255
56,81,255,255,255
57,76,255,255,255
58,20,255,255,255
59,67,255,255,255
60,43,255,255,255
61,21,255,255,255
62,37,255,255,255
63,24,255,255,255
64,37,255,255,255
65,40,255,255,255
66,30,255,255,255
67,42,255,255,255
68,37,255,255,255
69,40,255,255,255
70,49,255,255,255
71,23,255,255,255
72,24,255,255,255
73,24,255,255,255
74,51,255,255,255
75,32,255,255,255
76,38,255,255,255
77,23,255,255,255
78,20,255,255,255
79,20,255,255,255
80,35,255,255,255
81,21,255,255,255
82,31,255,255,255
83,35,255,255,255
84,26,255,255,255
85,72,255,255,255
86,27,255,255,255
87,24,255,255,255
88,24,255,255,255
89,30,255,255,255
90,32,255,255,255
91,36,255,255,255
92,46,255,255,255
93,63,255,255,255
94,80,255,255,255
95,46,255,255,255
96,38,255,255,255
97,27,255,255,255
98,28,255,255,255
99,20,255,255,255
100,21,255,255,255
101,31,255,255,255
102,24,255,255,255
103,37,255,255,255
104,32,255,255,255
105,22,255,255,255
106,33,255,255,255
107,35,255,255,255
108,45,255,255,255
109,39,255,255,255
110,30,255,255,255
111,84,255,255,255
112,37,255,255,255
113,41,255,255,255
114,66,255,255,255
115,25,255,255,255
116,36,255,255,255
117,23,255,255,255
118,32,255,255,255
119,33,255,255,255
120,41,255,255,255
121,103,255,255,255
122,45,255,255,255
123,41,255,255,255
124,31,255,255,255
125,58,255,255,255
126,21,255,255,255
127,30,255,255,255
128,52,255,255,255
129,28,255,255,255
130,36,255,255,255
131,35,255,255,255
132,33,255,255,255
133,30,255,255,255
134,28,255,255,255
135,39,255,255,255
136,33,255,255,255
137,33,255,255,255
138,46,255,255,255
139,24,255,255,255
140,35,255,255,255
141,41,255,255,255
142,39,255,255,255
143,39,255,255,255
144,52,255,255,255
145,53,255,255,255
146,62,255,255,255
147,26,255,255,255
148,27,255,255,255
149,20,255,255,255
150,25,255,255,255
151,24,255,255,255
152,20,255,255,255
153,31,255,255,255
154,32,255,255,255
155,20,255,255,255
156,29,255,255,255
157,27,255,255,255
158,22,255,255,255
159,41,255,255,255
160,23,255,255,255
161,34,255,255,255
162,21,255,255,255
163,32,255,255,255
164,33,255,255,255
165,91,255,255,255
166,33,255,255,255
167,111,255,255,255
168,21,255,255,255
169,49,255,255,255
170,30,255,255,255
171,54,255,255,255
172,45,255,255,255
173,45,255,255,255
174,43,255,255,255
175,135,255,255,255
176,32,255,255,255
177,34,255,255,255
178,155,255,255,255
179,26,255,255,255
180,31,255,255,255
181,34,255,255,255
182,35,255,255,255
183,110,255,255,255
184,65,255,255,255
185,43,255,255,255
186,24,255,255,255
187,31,255,255,255
188,65,255,255,255
189,29,255,255,255
190,29,255,255,255
191,42,255,255,255
192,25,255,255,255
193,56,255,255,255
194,21,255,255,255
195,67,255,255,255
196,27,255,255,255
197,82,255,255,255
198,22,255,255,255
199,29,255,255,255
200,41,255,255,255
201,29,255,255,255
202,75,255,255,255
203,34,255,255,255
204,40,255,255,255
205,314,255,255,255
206,27,255,255,255
207,26,255,255,255
208,35,255,255,255
209,42,255,255,255
210,27,255,255,255
211,26,255,255,255
212,128,255,255,255
213,52,255,255,255
214,35,255,255,255
215,20,255,255,255
216,41,255,255,255
217,23,255,255,255
218,26,255,255,255
219,35,255,255,255
220,26,255,255,255
221,24,255,255,255
222,42,255,255,255
223,22,255,255,255
224,26,255,255,255
