 ,Area,Mean,Min,Max
1,37,255,255,255
2,28,255,255,255
3,7,255,255,255
4,35,255,255,255
5,77,255,255,255
6,59,255,255,255
7,14,255,255,255
8,24,255,255,255
9,90,255,255,255
10,40,255,255,255
11,43,255,255,255
12,19,255,255,255
13,38,255,255,255
14,42,255,255,255
15,53,255,255,255
16,41,255,255,255
17,35,255,255,255
18,38,255,255,255
19,15,255,255,255
20,42,255,255,255
21,30,255,255,255
22,109,255,255,255
23,17,255,255,255
24,40,255,255,255
25,42,255,255,255
26,37,255,255,255
27,125,255,255,255
28,35,255,255,255
29,52,255,255,255
30,42,255,255,255
31,90,255,255,255
32,7,255,255,255
33,24,255,255,255
34,46,255,255,255
35,5,255,255,255
36,78,255,255,255
37,74,255,255,255
38,46,255,255,255
39,91,255,255,255
40,32,255,255,255
41,74,255,255,255
42,24,255,255,255
43,34,255,255,255
44,34,255,255,255
45,116,255,255,255
46,45,255,255,255
47,47,255,255,255
48,22,255,255,255
49,71,255,255,255
50,42,255,255,255
51,30,255,255,255
52,48,255,255,255
53,41,255,255,255
54,46,255,255,255
55,26,255,255,255
56,42,255,255,255
57,54,255,255,255
58,48,255,255,255
59,210,255,255,255
60,52,255,255,255
61,27,255,255,255
62,64,255,255,255
63,79,255,255,255
64,77,255,255,255
65,8,255,255,255
66,28,255,255,255
67,21,255,255,255
68,21,255,255,255
69,30,255,255,255
70,39,255,255,255
71,53,255,255,255
72,38,255,255,255
73,29,255,255,255
74,18,255,255,255
75,19,255,255,255
76,28,255,255,255
77,7,255,255,255
78,97,255,255,255
79,6,255,255,255
80,9,255,255,255
81,41,255,255,255
82,36,255,255,255
83,49,255,255,255
84,20,255,255,255
85,46,255,255,255
86,27,255,255,255
87,29,255,255,255
88,94,255,255,255
89,55,255,255,255
90,34,255,255,255
91,15,255,255,255
92,43,255,255,255
93,39,255,255,255
94,38,255,255,255
95,32,255,255,255
96,74,255,255,255
97,144,255,255,255
98,43,255,255,255
99,20,255,255,255
100,33,255,255,255
101,46,255,255,255
102,15,255,255,255
103,87,255,255,255
104,36,255,255,255
105,74,255,255,255
106,29,255,255,255
107,11,255,255,255
108,55,255,255,255
109,43,255,255,255
110,42,255,255,255
111,8,255,255,255
112,18,255,255,255
113,132,255,255,255
114,118,255,255,255
115,44,255,255,255
116,49,255,255,255
117,16,255,255,255
118,30,255,255,255
119,55,255,255,255
120,33,255,255,255
121,36,255,255,255
122,39,255,255,255
123,6,255,255,255
124,100,255,255,255
125,6,255,255,255
126,40,255,255,255
127,67,255,255,255
128,51,255,255,255
129,14,255,255,255
130,122,255,255,255
131,79,255,255,255
132,40,255,255,255
133,36,255,255,255
134,6,255,255,255
135,18,255,255,255
136,37,255,255,255
137,64,255,255,255
138,40,255,255,255
139,39,255,255,255
140,28,255,255,255
141,6,255,255,255
142,35,255,255,255
143,29,255,255,255
144,14,255,255,255
145,8,255,255,255
146,46,255,255,255
147,37,255,255,255
148,55,255,255,255
149,24,255,255,255
150,43,255,255,255
151,35,255,255,255
152,51,255,255,255
153,117,255,255,255
154,9,255,255,255
155,52,255,255,255
156,16,255,255,255
157,41,255,255,255
158,35,255,255,255
159,129,255,255,255
160,35,255,255,255
161,15,255,255,255
162,48,255,255,255
163,15,255,255,255
164,48,255,255,255
165,46,255,255,255
166,38,255,255,255
167,17,255,255,255
168,56,255,255,255
169,32,255,255,255
170,77,255,255,255
171,109,255,255,255
172,34,255,255,255
173,34,255,255,255
174,34,255,255,255
175,29,255,255,255
176,146,255,255,255
177,5,255,255,255
178,31,255,255,255
179,93,255,255,255
180,49,255,255,255
181,34,255,255,255
182,95,255,255,255
183,15,255,255,255
184,41,255,255,255
185,42,255,255,255
186,30,255,255,255
187,49,255,255,255
188,42,255,255,255
189,35,255,255,255
190,37,255,255,255
191,77,255,255,255
192,77,255,255,255
193,36,255,255,255
194,35,255,255,255
195,44,255,255,255
196,13,255,255,255
197,28,255,255,255
198,27,255,255,255
199,39,255,255,255
200,40,255,255,255
201,36,255,255,255
202,31,255,255,255
203,17,255,255,255
204,19,255,255,255
205,60,255,255,255
206,15,255,255,255
207,30,255,255,255
208,45,255,255,255
209,45,255,255,255
210,19,255,255,255
211,49,255,255,255
212,43,255,255,255
213,44,255,255,255
214,86,255,255,255
215,34,255,255,255
216,51,255,255,255
217,30,255,255,255
218,9,255,255,255
219,37,255,255,255
220,39,255,255,255
221,66,255,255,255
222,40,255,255,255
223,79,255,255,255
224,51,255,255,255
225,41,255,255,255
226,54,255,255,255
227,37,255,255,255
228,43,255,255,255
229,107,255,255,255
230,26,255,255,255
231,12,255,255,255
232,18,255,255,255
233,145,255,255,255
234,119,255,255,255
235,44,255,255,255
236,66,255,255,255
237,52,255,255,255
238,41,255,255,255
239,37,255,255,255
240,49,255,255,255
241,8,255,255,255
242,10,255,255,255
243,16,255,255,255
244,78,255,255,255
245,69,255,255,255
246,14,255,255,255
247,74,255,255,255
248,43,255,255,255
249,39,255,255,255
250,28,255,255,255
251,55,255,255,255
252,51,255,255,255
253,32,255,255,255
254,24,255,255,255
255,32,255,255,255
256,46,255,255,255
257,33,255,255,255
258,111,255,255,255
259,9,255,255,255
260,81,255,255,255
261,110,255,255,255
262,36,255,255,255
263,9,255,255,255
264,9,255,255,255
265,28,255,255,255
266,22,255,255,255
267,102,255,255,255
268,26,255,255,255
269,54,255,255,255
270,39,255,255,255
271,31,255,255,255
272,40,255,255,255
273,49,255,255,255
274,45,255,255,255
275,115,255,255,255
276,51,255,255,255
277,77,255,255,255
278,68,255,255,255
279,9,255,255,255
280,31,255,255,255
281,13,255,255,255
282,40,255,255,255
283,33,255,255,255
284,46,255,255,255
285,58,255,255,255
286,24,255,255,255
287,21,255,255,255
288,46,255,255,255
289,33,255,255,255
290,73,255,255,255
291,42,255,255,255
292,48,255,255,255
293,88,255,255,255
294,30,255,255,255
295,9,255,255,255
296,49,255,255,255
297,87,255,255,255
298,187,255,255,255
299,72,255,255,255
300,12,255,255,255
301,35,255,255,255
302,39,255,255,255
303,45,255,255,255
304,52,255,255,255
305,17,255,255,255
306,25,255,255,255
307,11,255,255,255
308,11,255,255,255
309,8,255,255,255
310,43,255,255,255
311,22,255,255,255
312,8,255,255,255
313,97,255,255,255
314,11,255,255,255
315,68,255,255,255
316,17,255,255,255
317,47,255,255,255
318,13,255,255,255
319,15,255,255,255
320,27,255,255,255
321,41,255,255,255
322,24,255,255,255
323,58,255,255,255
324,82,255,255,255
325,48,255,255,255
326,59,255,255,255
327,46,255,255,255
328,29,255,255,255
329,18,255,255,255
330,32,255,255,255
331,29,255,255,255
332,45,255,255,255
333,16,255,255,255
334,39,255,255,255
335,15,255,255,255
336,22,255,255,255
337,48,255,255,255
338,80,255,255,255
339,10,255,255,255
340,7,255,255,255
341,63,255,255,255
342,41,255,255,255
343,78,255,255,255
344,18,255,255,255
345,219,255,255,255
346,25,255,255,255
347,31,255,255,255
348,16,255,255,255
349,30,255,255,255
350,130,255,255,255
351,24,255,255,255
352,13,255,255,255
353,30,255,255,255
354,61,255,255,255
355,67,255,255,255
356,31,255,255,255
357,48,255,255,255
358,61,255,255,255
359,61,255,255,255
360,54,255,255,255
361,34,255,255,255
362,41,255,255,255
363,18,255,255,255
364,70,255,255,255
365,36,255,255,255
366,8,255,255,255
367,39,255,255,255
368,32,255,255,255
369,37,255,255,255
370,12,255,255,255
371,17,255,255,255
