 ,Area,Mean,IntDen,RawIntDen
1,299,255,76245,76245
2,74,255,18870,18870
3,38,255,9690,9690
4,29,255,7395,7395
5,32,255,8160,8160
6,59,255,15045,15045
7,22,255,5610,5610
8,94,255,23970,23970
9,86,255,21930,21930
10,26,255,6630,6630
11,88,255,22440,22440
12,69,255,17595,17595
13,36,255,9180,9180
14,82,255,20910,20910
15,87,255,22185,22185
16,96,255,24480,24480
17,52,255,13260,13260
18,59,255,15045,15045
19,26,255,6630,6630
20,74,255,18870,18870
21,83,255,21165,21165
22,32,255,8160,8160
23,41,255,10455,10455
24,32,255,8160,8160
25,33,255,8415,8415
26,79,255,20145,20145
27,130,255,33150,33150
28,18,255,4590,4590
29,18,255,4590,4590
30,47,255,11985,11985
31,47,255,11985,11985
32,18,255,4590,4590
33,40,255,10200,10200
34,79,255,20145,20145
35,191,255,48705,48705
36,17,255,4335,4335
37,18,255,4590,4590
38,20,255,5100,5100
39,15,255,3825,3825
40,200,255,51000,51000
41,19,255,4845,4845
42,24,255,6120,6120
43,15,255,3825,3825
44,16,255,4080,4080
45,15,255,3825,3825
46,27,255,6885,6885
47,15,255,3825,3825
48,40,255,10200,10200
49,240,255,61200,61200
50,30,255,7650,7650
51,42,255,10710,10710
52,19,255,4845,4845
53,22,255,5610,5610
54,43,255,10965,10965
55,18,255,4590,4590
56,53,255,13515,13515
57,27,255,6885,6885
58,15,255,3825,3825
59,116,255,29580,29580
60,17,255,4335,4335
61,30,255,7650,7650
62,15,255,3825,3825
63,16,255,4080,4080
64,34,255,8670,8670
65,21,255,5355,5355
66,16,255,4080,4080
67,21,255,5355,5355
68,15,255,3825,3825
69,31,255,7905,7905
70,40,255,10200,10200
71,23,255,5865,5865
72,42,255,10710,10710
73,44,255,11220,11220
74,23,255,5865,5865
75,36,255,9180,9180
76,16,255,4080,4080
77,19,255,4845,4845
78,50,255,12750,12750
79,43,255,10965,10965
80,15,255,3825,3825
81,38,255,9690,9690
82,94,255,23970,23970
83,28,255,7140,7140
84,32,255,8160,8160
85,46,255,11730,11730
86,47,255,11985,11985
87,29,255,7395,7395
88,27,255,6885,6885
89,148,255,37740,37740
90,117,255,29835,29835
91,58,255,14790,14790
92,41,255,10455,10455
93,49,255,12495,12495
94,51,255,13005,13005
95,23,255,5865,5865
96,30,255,7650,7650
97,19,255,4845,4845
98,22,255,5610,5610
99,22,255,5610,5610
100,137,255,34935,34935
101,204,255,52020,52020
102,117,255,29835,29835
103,94,255,23970,23970
104,44,255,11220,11220
105,18,255,4590,4590
106,124,255,31620,31620
107,33,255,8415,8415
108,163,255,41565,41565
109,40,255,10200,10200
110,18,255,4590,4590
111,217,255,55335,55335
112,93,255,23715,23715
113,35,255,8925,8925
114,90,255,22950,22950
115,20,255,5100,5100
116,15,255,3825,3825
117,90,255,22950,22950
118,52,255,13260,13260
119,35,255,8925,8925
120,33,255,8415,8415
121,17,255,4335,4335
122,21,255,5355,5355
123,30,255,7650,7650
124,19,255,4845,4845
125,18,255,4590,4590
126,40,255,10200,10200
127,24,255,6120,6120
128,29,255,7395,7395
129,19,255,4845,4845
130,45,255,11475,11475
131,16,255,4080,4080
132,63,255,16065,16065
133,21,255,5355,5355
134,20,255,5100,5100
135,15,255,3825,3825
136,365,255,93075,93075
137,32,255,8160,8160
138,44,255,11220,11220
139,75,255,19125,19125
140,26,255,6630,6630
141,144,255,36720,36720
142,70,255,17850,17850
143,21,255,5355,5355
144,17,255,4335,4335
145,108,255,27540,27540
146,21,255,5355,5355
147,43,255,10965,10965
148,60,255,15300,15300
149,52,255,13260,13260
150,35,255,8925,8925
151,24,255,6120,6120
