 ,Area,Mean,Min,Max
1,76,255,255,255
2,6,255,255,255
3,36,255,255,255
4,16,255,255,255
5,64,255,255,255
6,77,255,255,255
7,73,255,255,255
8,123,255,255,255
9,10,255,255,255
10,103,255,255,255
11,103,255,255,255
12,91,255,255,255
13,17,255,255,255
14,49,255,255,255
15,61,255,255,255
16,17,255,255,255
17,40,255,255,255
18,26,255,255,255
19,103,255,255,255
20,21,255,255,255
21,37,255,255,255
22,56,255,255,255
23,38,255,255,255
24,35,255,255,255
25,39,255,255,255
26,21,255,255,255
27,27,255,255,255
28,44,255,255,255
29,29,255,255,255
30,47,255,255,255
31,126,255,255,255
32,17,255,255,255
33,11,255,255,255
34,22,255,255,255
35,86,255,255,255
36,8,255,255,255
37,81,255,255,255
38,8,255,255,255
39,29,255,255,255
40,59,255,255,255
41,55,255,255,255
42,41,255,255,255
43,34,255,255,255
44,5,255,255,255
45,55,255,255,255
46,53,255,255,255
47,34,255,255,255
48,40,255,255,255
49,130,255,255,255
50,6,255,255,255
51,23,255,255,255
52,25,255,255,255
53,27,255,255,255
54,58,255,255,255
55,49,255,255,255
56,13,255,255,255
57,32,255,255,255
58,46,255,255,255
59,9,255,255,255
60,76,255,255,255
61,33,255,255,255
62,80,255,255,255
63,22,255,255,255
64,57,255,255,255
65,22,255,255,255
66,6,255,255,255
67,50,255,255,255
68,17,255,255,255
69,20,255,255,255
70,52,255,255,255
71,69,255,255,255
72,52,255,255,255
73,19,255,255,255
74,23,255,255,255
75,5,255,255,255
76,6,255,255,255
77,22,255,255,255
78,17,255,255,255
79,10,255,255,255
80,48,255,255,255
81,50,255,255,255
82,38,255,255,255
83,87,255,255,255
84,12,255,255,255
85,22,255,255,255
86,55,255,255,255
87,11,255,255,255
88,64,255,255,255
89,30,255,255,255
90,65,255,255,255
91,49,255,255,255
92,18,255,255,255
93,26,255,255,255
94,74,255,255,255
95,10,255,255,255
96,17,255,255,255
97,27,255,255,255
98,30,255,255,255
99,49,255,255,255
100,45,255,255,255
101,23,255,255,255
102,38,255,255,255
103,63,255,255,255
104,36,255,255,255
105,24,255,255,255
106,256,255,255,255
107,17,255,255,255
108,39,255,255,255
109,23,255,255,255
110,60,255,255,255
111,18,255,255,255
112,63,255,255,255
113,69,255,255,255
114,51,255,255,255
115,52,255,255,255
116,7,255,255,255
117,21,255,255,255
118,96,255,255,255
119,114,255,255,255
120,13,255,255,255
121,10,255,255,255
122,66,255,255,255
123,102,255,255,255
124,25,255,255,255
125,76,255,255,255
126,32,255,255,255
127,82,255,255,255
128,32,255,255,255
129,28,255,255,255
130,11,255,255,255
131,6,255,255,255
132,64,255,255,255
133,14,255,255,255
134,45,255,255,255
135,35,255,255,255
136,58,255,255,255
137,31,255,255,255
138,28,255,255,255
139,51,255,255,255
140,43,255,255,255
141,23,255,255,255
142,60,255,255,255
143,39,255,255,255
144,134,255,255,255
145,78,255,255,255
146,23,255,255,255
147,51,255,255,255
148,69,255,255,255
149,9,255,255,255
150,11,255,255,255
151,18,255,255,255
152,21,255,255,255
153,44,255,255,255
154,75,255,255,255
